Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists,Penalty_made,Penalty_attempted
Alberto Moleiro,ESP,"FW,MF",La Liga,20,26,19,1630,3,3,0,0
Alberto Moreno,ESP,DF,La Liga,31,26,16,1405,2,2,0,0
Alberto Perea,ESP,"MF,FW",La Liga,33,2,0,2,0,0,0,0
Alberto Risco,ESP,MF,La Liga,18,3,0,67,0,0,0,0
Alberto Soro,ESP,MF,La Liga,25,1,0,8,0,0,0,0
Aleix García,ESP,MF,La Liga,26,35,34,3019,3,6,0,0
Alejandro Balde,ESP,DF,La Liga,20,18,15,1378,0,1,0,0
Alejandro Garnacho,ARG,FW,Premier League,19,35,29,2475,7,4,0,0
Alejandro Jiménez,ESP,DF,Serie A,19,3,0,68,0,0,0,0
Alejandro Pozo Pozo,ESP,"DF,MF",La Liga,25,20,8,886,0,0,0,0
Alejo Véliz,ARG,FW,Premier League,20,84,00,83,10,00,00,00
Aleksandar Mitrović,SRB,FW,Premier League,29,1,0,33,0,0,0,0
Aleksandar Pavlovic,GER,MF,Bundesliga,20,19,14,1227,2,2,0,0
Aleksandar Radovanović,SRB,DF,La Liga,30,7,7,494,0,0,0,0
Aleksandar Sedlar,SRB,DF,La Liga,32,11,11,946,1,0,0,0
Aleksandr Golovin,RUS,"MF,FW",Ligue 1,27,25,25,2147,6,6,0,0
Aleksei Miranchuk,RUS,"MF,FW",Serie A,28,25,12,1124,3,5,0,0
Alessandro Bastoni,ITA,DF,Serie A,25,27,27,2205,1,3,0,0
Alessandro Buongiorno,ITA,DF,Serie A,24,28,28,2437,3,0,0,0
Alessandro Deiola,ITA,MF,Serie A,28,25,17,1465,0,0,0,0
Alessandro Dellavalle,ITA,DF,Serie A,20,1,0,15,0,0,0,0
Alessandro Di Pardo,ITA,"DF,MF",Serie A,24,13,2,356,0,0,0,0
Alessandro Florenzi,ITA,DF,Serie A,33,30,18,1642,1,3,0,0
Alessandro Sorrentino,ITA,GK,Serie A,22,5,3,368,0,0,0,0
Alessandro Vogliacco,ITA,DF,Serie A,25,18,12,999,0,1,0,0
Alessandro Zanoli,ITA,DF,Serie A,23,154,80,802,00,20,00,00
Alessio Cragno,ITA,GK,Serie A,29,2,2,180,0,0,0,0
Alessio Romagnoli,ITA,DF,Serie A,29,28,25,2321,0,0,0,0
Alessio Zerbin,ITA,"FW,DF",Serie A,25,117,71,764,00,10,00,00
Alex Baena,ESP,"MF,FW",La Liga,22,33,32,2517,2,13,0,1
Alex Iwobi,NGA,"FW,MF",Premier League,28,292,242,2242,50,20,00,00
Alex Král,CZE,MF,Bundesliga,26,24,13,1370,0,0,0,0
Alex Matos,ENG,MF,Premier League,19,1,0,1,0,0,0,0
Alex Meret,ITA,GK,Serie A,27,30,30,2683,0,0,0,0
Alex Murphy,IRL,"DF,FW",Premier League,19,2,0,13,0,0,0,0
Alex Sandro,BRA,DF,Serie A,33,15,7,648,0,0,0,0
Alex Scott,ENG,MF,Premier League,20,22,11,993,1,1,0,0
Alex Sola,ESP,"FW,MF",La Liga,24,282,130,1216,00,30,00,00
Alexander Brunst,GER,GK,Bundesliga,28,3,3,270,0,0,0,0
Alexander Isak,SWE,FW,Premier League,24,29,26,2175,20,1,5,6
Alexander Meyer,GER,GK,Bundesliga,33,8,7,695,0,0,0,0
Alexander Nübel,GER,GK,Bundesliga,27,30,30,2700,0,0,0,0
Alexander Schwolow,GER,GK,Bundesliga,31,1,1,90,0,0,0,0
Alexander Sørloth,NOR,FW,La Liga,28,32,28,2383,19,6,0,0
Alexandre Lacazette,FRA,FW,Ligue 1,32,28,26,2203,17,2,1,1
Alexandre Oukidja,ALG,GK,Ligue 1,35,33,33,2897,0,0,0,0
Alexis Blin,FRA,MF,Serie A,27,30,15,1566,0,2,0,0
Alexis Claude-Maurice,FRA,MF,Ligue 1,25,17,3,440,0,0,0,0
Alexis Mac Allister,ARG,MF,Premier League,25,32,30,2530,4,5,1,1
Alexis Saelemaekers,BEL,"FW,MF",Serie A,24,28,20,1790,4,2,0,0
Alexis Sánchez,CHI,FW,Serie A,35,21,6,714,2,4,1,1
Alexsandro Ribeiro,BRA,DF,Ligue 1,24,28,23,2130,0,0,0,0
Alfie Doughty,ENG,DF,Premier League,24,36,33,2835,1,8,0,0
Alfie Gilchrist,ENG,DF,Premier League,20,11,2,207,1,0,0,0
Alfonso Espino,URU,DF,La Liga,32,30,28,2417,0,1,0,0
Alfonso Pedraza,ESP,DF,La Liga,28,19,14,1116,1,3,0,0
Alfred Duncan,GHA,MF,Serie A,31,29,23,1812,2,5,0,0
Alidu Seidu,GHA,DF,Ligue 1,23,1410,136,1634,00,10,00,00
Aliou Badara Baldé,SEN,"FW,DF",Ligue 1,21,6,0,63,0,0,0,0
Alisson,BRA,GK,Premier League,31,27,27,2430,0,0,0,0
Aljoscha Kemlein,GER,MF,Bundesliga,19,2,0,29,0,0,0,0
Alois Confais,FRA,FW,Ligue 1,27,1,0,1,0,0,0,0
Alphonse Areola,FRA,GK,Premier League,31,30,30,2609,0,0,0,0
Alphonso Davies,CAN,DF,Bundesliga,23,29,24,2065,2,5,0,0
Amad Diallo,CIV,"FW,MF",Premier League,21,8,2,316,1,1,0,0
Amadou Diallo,ENG,MF,Premier League,21,1,0,1,0,0,0,0
Amadou Haidara,MLI,MF,Bundesliga,26,21,19,1526,2,1,0,0
Amadou Koné,MLI,MF,Ligue 1,19,15,3,385,0,0,0,0
Amadou Onana,BEL,MF,Premier League,22,29,22,2001,2,0,0,0
Amari'i Bell,JAM,DF,Premier League,30,21,21,1720,0,0,0,0
Amath,SEN,"FW,MF",La Liga,27,15,3,394,0,0,0,0
Ameen Al-Dakhil,BEL,DF,Premier League,22,13,12,1056,1,0,0,0
Amin Sarr,SWE,"FW,MF",Bundesliga,23,143,21,484,00,00,00,00
Amine Adli,MAR,"MF,FW",Bundesliga,24,23,8,898,4,6,0,0
Amine Gouiri,ALG,"FW,MF",Ligue 1,24,30,23,2007,7,3,0,0
Amine Harit,MAR,"MF,FW",Ligue 1,26,28,21,1821,1,2,0,0
Amine Salama,FRA,FW,Ligue 1,23,11,2,313,0,0,0,0
Amir Richardson,MAR,MF,Ligue 1,22,27,14,1322,3,1,0,0
Amir Rrahmani,KVX,DF,Serie A,30,30,30,2600,3,0,0,0
Amos Pieper,GER,DF,Bundesliga,26,7,7,590,0,0,0,0
Anass Zaroury,MAR,"FW,MF",Premier League,23,6,1,152,0,0,0,0
Anastasios Douvikas,GRE,FW,La Liga,24,30,6,816,6,1,0,0
Ander Barrenetxea,ESP,"FW,MF",La Liga,22,27,19,1345,4,1,0,0
Ander Guevara,ESP,MF,La Liga,26,36,32,2842,1,0,0,0
Ander Herrera,ESP,MF,La Liga,34,22,10,1014,0,3,0,0
Andoni Gorosabel,ESP,DF,La Liga,27,35,33,2853,1,0,0,0
Andre Brooks,ENG,"MF,DF",Premier League,20,19,12,909,0,0,0,0
Andre-Frank Zambo Anguissa,CMR,MF,Serie A,28,33,31,2696,0,2,0,0
Andrea Belotti,ITA,FW,Serie A,30,1314,96,1465,13,02,00,00
Andrea Cambiaso,ITA,"DF,FW",Serie A,24,33,27,2327,2,3,0,0
Andrea Carboni,ITA,DF,Serie A,23,21,16,1487,1,0,0,0
Andrea Colpani,ITA,"MF,FW",Serie A,25,36,34,2522,8,4,0,0
Andrea Consigli,ITA,GK,Serie A,37,34,34,3060,0,0,0,0
Andrea Petagna,ITA,FW,Serie A,28,18,13,995,1,1,0,0
Andrea Pinamonti,ITA,FW,Serie A,25,36,36,2978,11,1,2,3
Andrea Sodero,ITA,MF,Serie A,19,1,0,5,0,0,0,0
Andreas Christensen,DEN,"DF,MF",La Liga,28,28,26,1889,2,2,0,0
Andreas Hanche-Olsen,NOR,DF,Bundesliga,27,15,12,992,1,0,0,0
Andreas Luthe,GER,GK,Bundesliga,37,1,1,90,0,0,0,0
Andreas Müller,GER,MF,Bundesliga,23,11,2,349,0,0,0,0
Andreas Pereira,BRA,MF,Premier League,28,37,34,2613,3,7,0,0
Andrei Ratiu,ROU,DF,La Liga,25,10,5,511,0,0,0,0
Andrej Ilic,SRB,FW,Ligue 1,24,2,0,9,0,0,0,0
Andrej Kramarić,CRO,"MF,FW",Bundesliga,32,30,25,2199,15,6,5,5
Andres Sfait,ROU,DF,Serie A,19,1,0,14,0,0,0,0
Andrew Omobamidele,IRL,DF,Premier League,21,11,8,783,0,0,0,0
Andrew Robertson,SCO,DF,Premier League,30,22,17,1603,3,2,0,0
Andrey Santos,BRA,MF,Ligue 1,20,101,80,749,10,00,00,00
Andriy Lunin,UKR,GK,La Liga,25,20,20,1800,0,0,0,0
Andros Townsend,ENG,"MF,FW",Premier League,32,26,14,1195,1,3,0,0
András Schäfer,HUN,MF,Bundesliga,25,20,14,1214,1,2,0,0
André Ayew,GHA,FW,Ligue 1,34,18,11,1014,5,0,0,0
André Ferreira,POR,GK,La Liga,27,15,14,1340,0,0,0,0
André Gomes,POR,"MF,FW",Premier League,30,12,3,508,1,0,0,0
André Onana,CMR,GK,Premier League,28,37,37,3330,0,0,0,0
André Silva,POR,FW,La Liga,28,18,9,720,3,0,1,1
Andrés Guardado,MEX,MF,La Liga,37,12,4,447,0,0,0,0
Andy Diouf,FRA,MF,Ligue 1,21,25,16,1314,1,0,0,0
Andy Logbo,FRA,FW,Ligue 1,20,10,2,248,0,0,0,0
Andy Pelmard,FRA,DF,Ligue 1,24,33,32,2899,0,0,0,0
Anel Ahmedhodžić,BIH,DF,Premier League,25,30,28,2559,2,0,0,0
Angel Gomes,ENG,MF,Ligue 1,23,30,28,2500,0,8,0,0
Angeliño,ESP,DF,Serie A,27,14,12,971,0,0,0,0
Angelo Fulgini,FRA,MF,Ligue 1,27,28,15,1307,1,2,0,0
Angelo Ogbonna,ITA,DF,Premier League,35,11,7,635,0,0,0,0
Angelo Stiller,GER,MF,Bundesliga,23,311,301,2778,10,50,00,00
Anis Ben Slimane,TUN,MF,Premier League,23,15,4,419,0,0,0,0
Ansgar Knauff,GER,"MF,DF",Bundesliga,22,31,24,2109,7,2,0,0
Ansu Fati,ESP,"MF,FW",Premier League,21,183,30,561,20,00,00,00
Antal Yaakobishvili,HUN,DF,La Liga,19,1,0,61,0,0,0,0
Ante Budimir,CRO,FW,La Liga,32,31,28,2371,16,2,3,4
Anthony Caci,FRA,DF,Bundesliga,26,31,29,2486,2,3,0,0
Anthony Elanga,SWE,"FW,MF",Premier League,22,35,24,2346,5,8,0,0
Anthony Gordon,ENG,FW,Premier League,23,35,34,2890,11,10,1,1
Anthony Jung,GER,DF,Bundesliga,32,31,30,2579,1,0,0,0
Anthony Lopes,POR,GK,Ligue 1,33,30,30,2700,0,0,0,0
Anthony Losilla,FRA,MF,Bundesliga,38,31,31,2576,1,2,0,0
Anthony Lozano,HON,FW,La Liga,31,126,100,838,30,00,00,00
Anthony Martial,FRA,FW,Premier League,28,13,5,448,1,0,0,0
Anthony Oyono,GAB,DF,Serie A,23,16,14,1198,0,1,0,0
Anthony Rouault,FRA,DF,Bundesliga,22,22,11,1010,0,2,0,0
Antoine Griezmann,FRA,"FW,MF",La Liga,33,31,29,2464,16,6,4,4
Antoine Joujou,FRA,"FW,MF",Ligue 1,21,22,5,713,0,2,0,0
Antoine Makoumbou,CGO,MF,Serie A,25,32,32,2702,1,0,0,0
Antoine Mendy,FRA,DF,Ligue 1,19,9,3,328,0,0,0,0
Antoine Semenyo,GHA,FW,Premier League,24,32,24,2015,8,2,0,0
Anton Stach,GER,MF,Bundesliga,25,312,262,2491,20,30,00,00
Antonee Robinson,USA,DF,Premier League,26,36,36,3188,0,6,0,0
Antonin Cartillier,FRA,DF,Ligue 1,19,1,0,8,0,0,0,0
Antonino Gallo,ITA,DF,Serie A,24,34,29,2426,0,3,0,0
Antonio Blanco,ESP,MF,La Liga,23,33,29,2426,0,1,0,0
Antonio Candreva,ITA,"MF,FW",Serie A,37,32,31,2645,6,6,1,1
Antonio Mirante,ITA,GK,Serie A,40,1,1,90,0,0,0,0
Antonio Puertas,ESP,"MF,FW",La Liga,32,26,6,729,0,2,0,1
Antonio Raillo,ESP,DF,La Liga,32,24,23,2015,3,0,0,0
Antonio Rüdiger,GER,DF,La Liga,31,31,28,2529,1,0,0,0
Antonio Sanabria,PAR,"FW,MF",Serie A,28,34,23,2105,5,0,2,2
Antonio Sivera,ESP,GK,La Liga,27,34,34,3060,0,0,0,0
Antonio Sánchez,ESP,MF,La Liga,27,28,20,1396,3,1,0,0
Antonio Tikvić,CRO,DF,Serie A,20,1,0,1,0,0,0,0
Antonios Papadopoulos,GER,DF,Bundesliga,24,2,1,117,0,0,0,0
Antony,BRA,FW,Premier League,24,29,15,1324,1,1,0,0
Antonín Barák,CZE,"MF,FW",Serie A,29,19,7,715,2,3,0,0
Antwoine Hackford,ENG,FW,Premier League,20,2,0,13,0,0,0,0
Anwar El Ghazi,NED,"MF,DF",Bundesliga,29,3,0,54,0,1,0,0
Arda Güler,TUR,"FW,MF",La Liga,19,9,3,287,4,0,0,0
Ardian Ismajli,ALB,DF,Serie A,27,24,21,1865,0,0,0,0
Aridane Hernández,ESP,DF,La Liga,35,18,18,1600,0,0,0,0
Arijanet Muric,KVX,GK,Premier League,25,9,9,810,0,0,0,0
Arijon Ibrahimović,GER,"FW,DF",Serie A,18,16,5,474,1,1,0,0
Aritz Elustondo,ESP,DF,La Liga,30,13,5,632,0,1,0,0
Arkadiusz Milik,POL,FW,Serie A,30,30,6,820,3,1,0,0
Armand Lauriente,FRA,FW,Serie A,25,35,34,2802,5,4,0,0
Armando Broja,ALB,FW,Premier League,22,138,60,542,10,01,00,00
Armando Izzo,ITA,DF,Serie A,32,21,18,1515,0,0,0,0
Arnau Martinez,ESP,DF,La Liga,21,19,13,1125,0,2,0,0
Arnau Puigmal,ESP,"FW,DF",La Liga,23,11,3,255,0,0,0,0
Arnau Tenas,ESP,GK,Ligue 1,22,6,5,529,0,1,0,0
Arnaud Kalimuendo,FRA,FW,Ligue 1,22,30,25,2139,10,1,2,2
Arnaud Nordin,FRA,"FW,MF",Ligue 1,25,20,15,1246,5,3,0,0
Arnaut Danjuma,NED,"MF,FW",Premier League,27,14,5,595,1,0,0,0
Arne Engels,BEL,"MF,DF",Bundesliga,20,32,13,1405,3,2,0,0
Arne Maier,GER,MF,Bundesliga,25,22,10,1003,2,4,0,0
Aron Dønnum,NOR,"FW,MF",Ligue 1,26,26,18,1539,0,1,0,0
Arouna Sangante,SEN,DF,Ligue 1,22,29,29,2597,0,0,0,0
Arsen Zakharyan,RUS,"MF,FW",La Liga,20,27,14,1151,1,2,0,0
Artem Dovbyk,UKR,FW,La Liga,26,34,30,2419,20,7,5,6
Arthur,BRA,DF,Bundesliga,21,4,2,184,0,2,0,0
Arthur Atta,FRA,"MF,FW",Ligue 1,21,20,10,922,1,2,0,0
Arthur Desmas,FRA,GK,Ligue 1,30,32,32,2880,0,0,0,0
Arthur Melo,BRA,MF,Serie A,27,32,23,1951,1,3,0,0
Arthur Theate,BEL,DF,Ligue 1,23,28,27,2296,2,0,0,0
Arthur Vermeeren,BEL,MF,La Liga,19,3,1,85,0,0,0,0
Asaf Arania,ISR,MF,Bundesliga,18,1,0,6,0,0,0,0
Ashley Young,ENG,"DF,MF",Premier League,38,30,26,2190,0,0,0,0
Asier Osambela,ESP,MF,La Liga,20,1,0,9,0,0,0,0
Asier Villalibre,ESP,FW,La Liga,26,16,3,459,2,1,0,0
Assane Diao,ESP,FW,La Liga,18,18,13,1048,2,0,0,0
Aster Vranckx,BEL,MF,Bundesliga,21,24,12,1153,0,0,0,0
Atakan Karazor,GER,MF,Bundesliga,27,33,31,2623,0,4,0,0
Attila Szalai,HUN,DF,Bundesliga,26,43,40,391,00,00,00,00
Augusto Batalla,ARG,GK,La Liga,28,17,17,1530,0,0,0,0
Aurélien Pelon,FRA,DF,Ligue 1,20,1,1,90,0,0,0,0
Aurélien Tchouaméni,FRA,"MF,DF",La Liga,24,27,22,1987,3,1,0,0
Aurélio Buta,POR,"DF,MF",Bundesliga,27,30,20,1744,1,1,0,0
Auston Trusty,USA,DF,Premier League,25,31,27,2482,0,0,0,0
Axel Camblan,FRA,FW,Ligue 1,20,7,0,90,0,0,0,0
Axel Disasi,FRA,DF,Premier League,26,31,29,2579,2,0,0,0
Axel Gueguin,FRA,"DF,FW",Ligue 1,19,3,1,132,0,0,0,0
Axel Guessand,FRA,DF,Serie A,19,1,0,45,0,0,0,0
Axel Witsel,BEL,DF,La Liga,35,34,29,2693,2,0,0,0
Ayanda Sishuba,BEL,MF,Ligue 1,19,6,0,61,0,0,0,0
Ayman Kari,FRA,MF,Ligue 1,19,14,12,893,1,1,0,0
Aymen Barkok,MAR,"MF,FW",Bundesliga,25,13,1,321,1,0,0,1
Aymeric Laporte,ESP,DF,Premier League,29,1,0,12,0,0,0,0
Ayoze Pérez,ESP,FW,La Liga,30,29,27,2114,9,1,0,0
Ayyoub Bouaddi,FRA,MF,Ligue 1,16,9,1,131,0,0,0,0
Azor Matusiwa,NED,MF,Ligue 1,26,1611,168,2089,10,01,00,00
Azzedine Ounahi,MAR,MF,Ligue 1,24,21,15,1209,2,0,0,0
Aïman Maurer,MAR,"MF,FW",Ligue 1,19,5,0,56,0,0,0,0
Aïssa Laïdouni,TUN,MF,Bundesliga,27,23,10,1071,0,3,0,0
Aïssa Mandi,ALG,DF,La Liga,32,15,11,1023,1,0,0,0
Badredine Bouanani,ALG,MF,Ligue 1,19,107,31,548,00,00,00,00
Bafodé Diakité,FRA,DF,Ligue 1,23,20,18,1606,5,2,0,0
Bamba Dieng,SEN,FW,Ligue 1,24,15,5,514,2,1,0,0
Bambasé Conté,GER,"MF,FW",Bundesliga,20,7,0,48,0,0,0,0
Bamo Meïté,CIV,DF,Ligue 1,22,162,62,784,00,00,00,00
Baptiste Santamaria,FRA,MF,Ligue 1,29,30,22,1926,0,1,0,0
Bart Verbruggen,NED,GK,Premier League,21,21,21,1890,0,0,0,0
Bartol Franjić,CRO,MF,Bundesliga,24,20,14,1229,0,1,0,0
Bartosz Bereszyński,POL,DF,Serie A,31,22,20,1638,0,1,0,0
