,Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists_x,Penalty_made,Penalty_attempted,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists_y,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
24,Abner,BRA,DF,La Liga,23.0,23,15,1400,0,1,0,0,Real Betis,1000000.0,0.0,0.34,0.05,1.2,52.89,0.762,2.78,1.2,0.62,1.82,4.17,1.63,0.96,1.29,3.36,0.82,,,,,,,,,,,
25,Abou Lô,SEN,"MF,DF",Ligue 1,24.0,6,2,197,0,0,0,0,Metz,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
26,Aboubacar Ali,FRA,"FW,MF",Ligue 1,18.0,9,1,130,0,1,0,0,Strasbourg,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
27,Achraf Dari,MAR,"DF,FW",Ligue 1,25.0,4,1,121,0,0,0,0,Charleroi,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
28,Achraf Hakimi,MAR,DF,Ligue 1,25.0,25,20,1932,4,5,0,0,Paris Saint-Germain,14550000.0,0.15,1.77,0.18,4.38,90.3,0.858,9.11,3.69,1.08,2.85,10.55,1.5,0.72,1.14,1.35,0.6,,,,,,,,,,,
29,Adam Hložek,CZE,"FW,MF",Bundesliga,21.0,23,5,459,2,3,0,0,Leverkusen,1880000.0,0.39,3.75,0.39,2.96,26.52,0.788,2.86,2.86,0.89,5.13,5.72,1.18,0.39,0.89,0.3,1.28,,,,,,,,,,,
30,Adam Lallana,ENG,"FW,MF",Premier League,36.0,25,13,850,0,1,0,0,Brighton & Hove Albion,5438089.0,0.0,0.83,0.1,3.13,55.27,0.889,4.28,1.15,0.31,4.38,6.57,1.04,0.42,0.21,0.1,0.31,,,,,,,,,,,
31,Adam Marušić,MNE,DF,Serie A,31.0,36,36,3010,1,0,0,0,Lazio,1670000.0,0.03,0.26,0.0,1.04,54.65,0.832,3.42,1.02,0.39,0.55,3.03,1.33,0.99,0.86,1.9,0.83,,,,,,,,,,,
32,Adam Masina,MAR,DF,Serie A,30.0,19,10,998,0,0,0,0,Torino,1150000.0,0.0,0.5,0.0,1.0,58.09,0.844,3.74,0.25,0.17,0.66,0.75,1.83,0.91,1.33,2.99,2.58,,,,,,,,,,,
33,Adam Obert,SVK,DF,Serie A,21.0,16,9,851,0,0,0,0,Cagliari,740000.0,0.0,0.32,0.0,1.7,48.09,0.79,3.62,1.49,0.21,0.32,0.53,1.7,2.02,1.06,4.04,1.49,,,,,,,,,,,
34,Adam Ounas,ALG,FW,Ligue 1,27.0,17,3,418,1,0,0,0,Lille,2730000.0,0.17,1.65,0.0,5.61,46.9,0.736,4.29,3.96,2.81,3.47,9.91,1.16,0.99,0.5,0.33,0.99,,,,,,,,,,,
35,Adam Smith,ENG,DF,Premier League,33.0,28,25,2150,0,2,0,0,Bournemouth,2114812.0,0.0,0.08,0.08,1.41,42.9,0.764,3.57,1.14,0.16,0.51,1.65,1.53,0.86,1.14,2.55,0.78,,,,,,,,,,,
36,Adam Webster,ENG,DF,Premier League,29.0,15,13,1144,0,0,0,0,Brighton & Hove Albion,3323277.0,0.0,0.4,0.0,1.04,85.6,0.91,6.25,1.2,0.0,0.8,0.16,1.2,1.2,0.96,3.36,2.48,,,,,,,,,,,
37,Adam Wharton,ENG,MF,Premier League,19.0,16,15,1297,0,3,0,0,Crystal Palace,,0.0,0.74,0.22,2.6,39.17,0.765,4.83,0.97,0.15,0.3,0.67,3.42,1.49,1.19,1.78,0.52,,,,,,,,,,,
38,Adama Bojang,GAM,FW,Ligue 1,19.0,9,0,83,0,0,0,0,Reims,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
39,Adama Traoré,ESP,"FW,MF",Premier League,28.0,17,1,377,2,3,0,0,Fulham,3927509.0,0.19,2.08,0.38,3.21,31.76,0.661,3.21,6.81,3.03,4.73,10.21,1.13,0.19,0.38,1.51,2.08,,,,,,,,,,,
40,Adel Mahamoud,COM,FW,Ligue 1,21.0,1,0,10,0,0,0,0,Nantes,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
41,Ademola Lookman,NGA,"FW,MF",Serie A,26.0,29,20,1749,9,6,0,0,Atalanta,2310000.0,0.4,3.13,0.33,4.59,39.81,0.748,4.73,3.82,1.75,6.15,11.28,0.95,0.4,0.91,0.04,0.8,,,,,,,,,,,
42,Adnan Januzaj,BEL,"FW,MF",La Liga,29.0,8,0,193,0,0,0,0,Sevilla,3200000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
43,Adri Bosch,ESP,DF,La Liga,22.0,1,0,26,0,0,0,0,Granada,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
44,Adri Embarba,ESP,"FW,MF",La Liga,32.0,35,28,2386,3,1,1,1,Almería,960000.0,0.11,2.26,0.04,3.75,33.81,0.646,2.12,3.25,1.77,2.3,5.98,2.26,0.6,1.27,0.5,0.88,,,,,,,,,,,
45,Adrian Beck,GER,"FW,MF",Bundesliga,26.0,23,11,974,1,1,0,0,Heidenheim,180000.0,0.09,1.11,0.09,2.68,39.83,0.722,2.68,1.57,1.94,2.86,3.97,2.03,0.37,1.57,1.39,1.66,,,,,,,,,,,
46,Adrian Grbić,AUT,FW,Ligue 1,27.0,1,0,31,0,0,0,0,FC Luzern,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
47,Adrien Lebeau,FRA,"FW,MF",Ligue 1,24.0,7,0,54,0,1,0,0,Brest,200000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
48,Adrien Rabiot,FRA,MF,Serie A,29.0,30,29,2581,5,3,0,0,Juventus,8970000.0,0.15,1.42,0.15,2.27,41.41,0.818,4.27,2.73,1.0,2.82,3.7,2.09,0.79,0.88,1.3,1.88,,,,,,,,,,,
49,Adrien Tameze,CMR,"MF,DF",Serie A,30.0,28,24,2075,0,2,0,0,Torino,1280000.0,0.0,0.4,0.08,1.5,52.01,0.858,3.68,1.09,0.57,0.85,1.98,1.5,1.9,1.01,1.13,1.25,,,,,,,,,,,
50,Adrien Thomasson,FRA,MF,Ligue 1,30.0,29,13,1193,1,2,0,0,Lens,1080000.0,0.22,2.28,0.22,4.72,49.0,0.754,4.72,1.44,0.89,5.38,7.93,1.44,0.5,1.39,0.83,1.0,,,,,,,,,,,
51,Adrien Truffert,FRA,DF,Ligue 1,22.0,30,24,2145,1,2,0,0,Rennes,1000000.0,0.07,0.86,0.07,1.89,56.26,0.789,4.23,2.3,0.93,1.86,7.22,1.44,0.65,1.31,1.99,0.55,,,,,,,,,,,
52,Adrià Altimira,ESP,"MF,DF",La Liga,23.0,11,10,775,0,0,0,0,Villarreal,160000.0,0.0,0.52,0.0,1.78,50.63,0.825,4.5,2.3,1.52,0.74,1.95,1.91,0.87,0.78,1.65,0.52,,,,,,,,,,,
