,Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists_x,Penalty_made,Penalty_attempted,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists_y,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
421,Carmona,ESP,"MF,DF",La Liga,22.0,29,15,1293,1,1,0,0,Getafe,,0.07,0.86,0.07,2.08,38.64,0.749,2.73,2.01,0.65,1.94,3.88,1.87,1.44,1.08,1.72,1.15,,,,,,,,,,,
422,Carney Chukwuemeka,ENG,"FW,MF",Premier League,20.0,9,2,227,1,1,0,0,Chelsea,6042321.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
423,Casemiro,BRA,"MF,DF",Premier League,32.0,25,24,1982,1,2,0,0,Manchester United,21148123.0,0.2,2.07,0.08,2.15,63.87,0.812,5.55,0.55,0.43,2.11,1.48,3.67,0.74,2.97,2.85,1.84,,,,,,,,,,,
424,Castello Lukeba,FRA,DF,Bundesliga,21.0,32,24,2191,1,0,0,0,RB Leipzig,3000000.0,0.03,0.27,0.0,0.45,71.97,0.914,3.91,0.99,0.54,0.57,0.33,0.96,1.11,1.35,3.49,1.17,,,,,,,,,,,
425,Catena,ESP,DF,La Liga,29.0,29,27,2456,1,3,0,0,Osasuna,1000000.0,0.03,0.56,0.07,0.46,47.67,0.816,3.0,0.17,0.1,0.89,0.07,1.22,0.63,0.86,4.23,2.11,,,,,,,,,,,
426,Cauley Woodrow,ENG,"FW,MF",Premier League,29.0,24,2,427,1,1,0,0,Luton Town,1208464.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
427,Cedric Zesiger,SUI,DF,Bundesliga,25.0,23,18,1634,0,0,0,0,Wolfsburg,1000000.0,0.0,0.82,0.0,0.82,61.9,0.846,4.31,0.82,0.17,0.52,0.17,0.93,0.76,1.87,4.84,2.04,,,,,,,,,,,
428,Cenk Özkacar,TUR,DF,La Liga,23.0,23,18,1598,0,0,0,0,Valencia,590000.0,0.0,0.35,0.0,0.7,47.05,0.813,3.39,1.11,0.23,0.7,0.29,1.58,1.05,1.05,4.86,1.87,,,,,,,,,,,
429,Cesare Casadei,ITA,"FW,MF",Premier League,21.0,11,0,79,0,0,0,0,Chelsea,,0.2,2.04,0.0,2.96,42.6,0.818,4.99,1.53,1.02,2.75,5.4,1.73,0.82,0.92,1.22,2.75,,,,,,,,,,,
430,Chadi Riad,MAR,DF,La Liga,20.0,26,24,2164,0,0,0,0,Real Betis,,0.0,0.45,0.0,0.41,48.72,0.893,1.41,0.14,0.0,0.68,0.05,1.45,1.0,0.91,4.58,1.81,,,,,,,,,,,
431,Chaim El Djebali,TUN,MF,Ligue 1,20.0,1,0,12,0,0,0,0,Lyon,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
432,Chaka Traorè,CIV,FW,Serie A,19.0,2,0,20,1,0,0,0,Palermo,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
433,Chancel Mbemba,COD,DF,Ligue 1,29.0,25,25,2207,2,2,0,0,Marseille,3840000.0,0.18,0.83,0.05,0.96,54.7,0.864,5.52,0.7,0.23,1.07,0.47,1.35,0.81,0.96,3.67,1.56,,,,,,,,,,,
434,Charalambos Lykogiannis,GRE,DF,Serie A,30.0,21,9,814,2,1,0,0,Bologna,930000.0,0.22,1.44,0.11,1.77,56.17,0.748,3.43,3.32,0.22,1.0,4.09,1.0,0.55,1.55,3.1,1.33,,,,,,,,,,,
435,Charles De Ketelaere,BEL,"FW,MF",Serie A,23.0,33,23,1881,10,6,1,1,Atalanta,3210000.0,0.37,2.15,0.3,4.56,34.5,0.729,5.82,3.82,1.56,6.22,9.78,1.45,0.44,1.45,0.41,1.96,,,,,,,,,,,
436,Charlie Taylor,ENG,DF,Premier League,30.0,28,25,2331,1,1,0,0,Burnley,1812696.0,0.04,0.4,0.04,1.28,50.76,0.753,3.15,1.44,0.36,0.72,3.15,1.4,0.76,1.08,3.11,1.63,,,,,,,,,,,
437,Charlys,BRA,MF,Serie A,20.0,1,0,1,0,0,0,0,Verona,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
438,Cheick Doucouré,MLI,MF,Premier League,24.0,11,11,919,0,0,0,0,Crystal Palace,4229625.0,0.0,0.75,0.0,2.09,41.99,0.875,4.77,1.0,0.84,0.84,0.75,3.01,1.84,1.51,1.17,0.59,,,,,,,,,,,
439,Cheick Oumar Konaté,MLI,MF,Ligue 1,20.0,19,12,1068,1,1,0,0,Clermont Foot,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
440,Cheikh Tidiane Sabaly,SEN,"FW,MF",Ligue 1,25.0,29,17,1379,3,1,0,0,Metz,280000.0,0.2,1.39,0.07,2.44,24.19,0.781,2.31,2.38,2.05,2.97,4.96,2.64,0.66,1.26,0.93,0.33,,,,,,,,,,,
441,Cheikhou Kouyaté,SEN,MF,Premier League,34.0,12,2,212,0,0,0,0,Nottingham Forest,2719044.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
442,Cher Ndour,ITA,MF,Ligue 1,19.0,3,0,28,0,0,0,0,Braga,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
443,Chiedozie Ogbene,IRL,"MF,DF",Premier League,27.0,30,20,1995,4,1,0,0,Luton Town,906348.0,0.19,1.5,0.05,3.47,35.39,0.748,2.25,5.77,2.86,3.94,6.7,0.8,0.23,0.66,1.59,1.27,,,,,,,,,,,
444,Chris Basham,ENG,"MF,DF",Premier League,35.0,8,3,321,0,0,0,0,Sheffield United,906348.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
445,Chris Bedia,CIV,"FW,MF",Bundesliga,28.0,7,0,145,1,0,0,0,Union Berlin,600000.0,0.33,1.83,0.0,1.83,12.79,0.766,0.83,0.5,0.66,4.48,3.82,0.66,0.0,0.66,0.33,1.83,,,,,,,,,,,
446,Chris Führich,GER,"FW,MF",Bundesliga,26.0,34,33,2567,8,7,0,1,Stuttgart,2500000.0,0.31,1.93,0.31,4.84,47.3,0.812,5.01,5.25,2.52,4.35,9.26,1.04,0.24,1.0,0.28,0.14,,,,,,,,,,,
447,Chris Mepham,WAL,DF,Premier League,26.0,10,6,617,0,1,0,0,Bournemouth,2114812.0,0.0,0.15,0.15,1.6,52.37,0.825,3.65,0.58,0.0,0.88,0.15,1.75,1.02,1.9,4.38,4.23,,,,,,,,,,,
448,Chris Ramos,ESP,"FW,MF",La Liga,27.0,37,30,2612,5,1,0,0,Cádiz,320000.0,0.17,2.59,0.04,1.4,16.79,0.565,0.94,1.08,0.59,4.69,3.53,0.94,0.31,0.73,1.5,5.88,,,,,,,,,,,
449,Chris Richards,USA,"MF,DF",Premier League,24.0,26,23,2094,1,1,0,0,Crystal Palace,3323277.0,0.04,0.49,0.04,0.63,39.48,0.819,1.71,0.04,0.04,0.94,0.04,2.02,1.12,1.44,4.85,2.74,,,,,,,,,,,
450,Chris Smalling,ENG,DF,Serie A,34.0,8,4,390,0,0,0,0,Roma,4490000.0,0.0,0.35,0.0,0.61,50.52,0.882,2.63,0.7,0.0,1.14,0.18,0.7,0.96,1.84,3.24,3.41,,,,,,,,,,,
451,Chris Wood,NZL,FW,Premier League,32.0,31,20,1812,14,1,0,0,Nottingham Forest,4833857.0,0.62,2.28,0.05,2.23,21.33,0.655,1.51,0.78,0.31,4.62,3.89,0.36,0.05,0.57,1.35,3.58,,,,,,,,,,,
452,Chrislain Matsima,FRA,DF,Ligue 1,22.0,20,16,1478,1,1,0,0,Clermont Foot,750000.0,0.06,0.55,0.06,0.73,52.43,0.886,4.63,1.1,0.12,0.55,0.37,1.58,1.04,1.04,4.2,1.89,,,,,,,,,,,
453,Christ Mbondi,FRA,FW,Ligue 1,19.0,1,0,2,0,0,0,0,Reims,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
454,Christian Eriksen,DEN,MF,Premier League,32.0,22,12,1141,1,2,0,0,Manchester United,9063481.0,0.06,1.02,0.18,3.4,62.89,0.808,6.03,1.43,0.24,0.96,1.73,1.49,0.48,1.19,0.96,0.18,,,,,,,,,,,
455,Christian Groß,GER,"MF,DF",Bundesliga,35.0,20,8,797,0,1,0,0,Werder Bremen,780000.0,0.0,0.44,0.11,0.87,56.47,0.857,5.13,1.75,0.33,1.09,0.55,2.08,1.42,1.86,2.95,1.75,,,,,,,,,,,
456,Christian Günter,GER,DF,Bundesliga,31.0,15,13,1060,1,2,0,0,Freiburg,1020000.0,0.14,0.58,0.14,2.38,42.62,0.748,1.88,1.37,0.29,1.01,5.63,1.37,0.14,0.72,1.66,0.43,,,,,,,,,,,
457,Christian Kabasele,BEL,DF,Serie A,33.0,12,10,860,1,1,0,0,Udinese,1670000.0,0.1,0.73,0.1,0.52,32.86,0.818,2.3,0.73,0.0,0.94,0.1,1.05,1.26,1.57,5.86,2.72,,,,,,,,,,,
458,Christian Kouamé,CIV,FW,Serie A,26.0,22,11,1064,2,1,0,0,Fiorentina,2220000.0,0.16,1.89,0.16,3.16,35.97,0.713,3.08,0.79,0.71,3.94,8.28,0.95,0.08,1.26,0.87,4.81,,,,,,,,,,,
459,Christian Kühlwetter,GER,MF,Bundesliga,28.0,1,0,8,0,1,0,0,Heidenheim,280000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
460,Christian Mawissa,FRA,DF,Ligue 1,19.0,17,12,1118,2,0,0,0,Toulouse,,0.15,0.38,0.0,1.23,48.94,0.828,2.99,1.76,1.84,0.92,1.07,1.84,1.76,1.84,3.45,1.46,,,,,,,,,,,
461,Christian Nørgaard,DEN,MF,Premier League,30.0,31,30,2505,2,1,0,0,Brentford,2114812.0,0.07,1.3,0.04,2.24,52.99,0.792,5.81,0.52,0.22,2.12,1.57,2.94,1.98,1.71,1.86,1.49,,,,,,,,,,,
462,Christian Pulisic,USA,"FW,MF",Serie A,25.0,35,31,2512,12,7,0,0,Milan,5130000.0,0.4,2.16,0.22,3.29,37.11,0.777,2.91,4.13,1.54,4.21,10.12,1.27,0.27,0.86,0.43,0.49,,,,,,,,,,,
463,Christoph Baumgartner,AUT,"FW,MF",Bundesliga,24.0,32,11,1158,5,1,0,0,RB Leipzig,2500000.0,0.33,2.61,0.07,3.39,34.33,0.738,3.59,2.74,1.11,5.09,6.07,1.96,0.52,1.5,1.11,1.89,,,,,,,,,,,
464,Christoph Klarer,AUT,DF,Bundesliga,23.0,30,28,2354,2,2,0,0,Darmstadt 98,600000.0,0.08,0.36,0.08,0.87,46.83,0.869,2.5,0.36,0.24,1.27,0.44,1.43,0.83,1.23,3.58,1.67,,,,,,,,,,,
465,Christoph Kramer,GER,MF,Bundesliga,33.0,14,1,249,0,0,0,0,Mönchengladbach,3500000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
466,Christoph Zimmermann,GER,DF,Bundesliga,31.0,19,12,1220,0,0,0,0,Darmstadt 98,780000.0,0.0,0.31,0.0,0.7,41.8,0.815,2.5,0.55,0.16,0.7,0.08,2.42,1.64,1.64,4.76,2.26,,,,,,,,,,,
467,Christophe Hérelle,MTQ,DF,Ligue 1,31.0,19,18,1617,0,0,0,0,Metz,700000.0,0.0,0.24,0.0,0.88,34.83,0.895,2.36,0.06,0.29,0.24,0.06,1.83,1.0,0.94,3.95,0.88,,,,,,,,,,,
468,Christopher Antwi-Adjei,GHA,"FW,MF",Bundesliga,30.0,25,11,1216,2,2,0,0,Bochum,300000.0,0.07,1.95,0.13,3.45,34.19,0.596,2.28,3.52,0.52,3.65,10.29,1.63,0.26,1.04,0.85,0.78,,,,,,,,,,,
469,Christopher Jullien,FRA,DF,Ligue 1,31.0,20,13,1233,1,0,0,0,Montpellier,900000.0,0.07,0.51,0.0,0.73,36.42,0.856,1.82,0.07,0.22,0.8,0.29,1.24,0.95,1.9,7.74,3.36,,,,,,,,,,,
470,Christopher Lenz,GER,"MF,DF",Bundesliga,29.0,6,0,57,0,0,0,0,RB Leipzig,1200000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
471,Christopher Nkunku,FRA,"FW,MF",Premier League,26.0,11,2,443,3,0,0,0,Chelsea,11782526.0,0.76,3.32,0.15,3.47,30.2,0.865,2.87,1.96,0.91,5.74,7.4,0.76,0.45,0.6,0.76,1.21,,,,,,,,,,,
472,Christopher Operi,FRA,DF,Ligue 1,27.0,28,28,2445,3,4,0,0,Le Havre,540000.0,0.11,0.84,0.15,2.68,57.86,0.729,3.06,1.15,1.03,0.57,4.13,2.1,1.3,1.64,2.56,1.22,,,,,,,,,,,
473,Christopher Trimmel,AUT,DF,Bundesliga,37.0,26,19,1646,0,2,0,0,Union Berlin,900000.0,0.0,0.39,0.15,3.74,53.74,0.665,4.88,1.23,0.39,0.79,3.4,1.43,0.64,0.84,2.81,1.33,,,,,,,,,,,
474,Christopher Wooh,CMR,DF,Ligue 1,22.0,18,15,1388,1,0,0,0,Rennes,240000.0,0.06,0.8,0.0,0.8,47.76,0.85,4.08,0.8,0.06,1.26,0.29,0.98,1.21,1.09,3.56,1.89,,,,,,,,,,,
475,Christos Mandas,GRE,GK,Serie A,22.0,9,8,721,0,0,0,0,Lazio,,,,,,,0.0,,,,,,,,,,,0.75,7.93,,5.0,35.7,4.25,3.62,37.9,0.61,0.62,13.1
476,Christos Papadopoulos,GRE,FW,Serie A,19.0,1,0,4,0,0,0,0,Genoa,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
477,Chukwubuikem Ikwuemesi,NGA,FW,Serie A,22.0,25,11,1061,1,1,0,0,Salernitana,,0.08,1.87,0.08,1.53,14.17,0.659,0.85,0.93,1.27,4.07,5.94,0.25,0.08,0.08,0.68,2.46,,,,,,,,,,,
478,Ciro Immobile,ITA,FW,Serie A,34.0,30,21,1632,7,1,4,4,Lazio,7410000.0,0.22,2.47,0.11,2.55,24.18,0.755,1.83,1.05,0.6,5.92,6.7,0.52,0.22,0.56,0.71,0.75,,,,,,,,,,,
479,Claudio Bravo,CHI,GK,La Liga,41.0,7,7,630,0,0,0,0,Real Betis,1200000.0,,,,,,0.0,,,,,,,,,,,0.77,7.56,,2.31,35.15,3.7,7.92,44.3,0.41,0.92,13.0
480,Clemens Riedel,GER,DF,Bundesliga,20.0,14,9,755,0,0,0,0,Darmstadt 98,300000.0,0.0,0.95,0.0,2.38,68.66,0.851,5.6,0.48,0.48,0.72,3.22,2.62,1.31,1.31,3.1,1.31,,,,,,,,,,,
481,Clinton Mata,ANG,DF,Ligue 1,31.0,28,25,2220,0,3,0,0,Lyon,1100000.0,0.0,0.59,0.13,1.27,61.31,0.848,4.01,1.35,0.97,0.55,2.37,1.61,1.69,1.44,2.49,1.1,,,,,,,,,,,
482,Clément Lenglet,FRA,DF,Premier League,28.0,14,14,1153,0,1,0,0,Aston Villa,3000000.0,0.0,0.65,0.07,1.16,70.31,0.89,3.91,2.03,0.29,0.94,0.07,1.23,0.51,1.52,4.63,1.59,,,,,,,,,,,
483,Cody Gakpo,NED,"FW,MF",Premier League,25.0,35,17,1649,8,5,0,0,Liverpool,7250785.0,0.5,3.13,0.23,3.94,31.17,0.781,4.33,2.36,1.78,5.52,7.34,1.35,0.5,1.04,0.46,1.47,,,,,,,,,,,
484,Cole Palmer,ENG,"FW,MF",Premier League,22.0,34,29,2618,22,11,9,9,Chelsea,4531741.0,0.43,3.44,0.36,5.6,48.73,0.798,6.38,4.25,1.87,4.42,6.71,0.75,0.62,0.72,0.43,0.03,,,,,,,,,,,
485,Connor Roberts,WAL,DF,Premier League,28.0,14,8,823,0,1,0,0,Leeds United,1823416.0,0.0,0.0,0.11,1.97,54.13,0.798,4.16,0.66,0.0,0.66,1.42,1.31,0.44,0.87,2.73,0.66,,,,,,,,,,,
486,Conor Bradley,NIR,DF,Premier League,20.0,11,10,753,1,3,0,0,Liverpool,604232.0,0.09,1.12,0.28,2.89,64.78,0.806,3.72,3.54,1.49,3.63,6.98,3.35,1.12,2.33,1.68,1.21,,,,,,,,,,,
487,Conor Gallagher,ENG,MF,Premier League,24.0,37,37,3128,5,7,0,0,Chelsea,3021160.0,0.14,1.41,0.19,3.07,56.83,0.892,5.0,1.82,0.94,2.4,3.95,2.52,1.27,1.47,0.86,0.66,,,,,,,,,,,
488,Copete,ESP,DF,La Liga,24.0,19,17,1333,1,1,0,0,Mallorca,210000.0,0.11,0.4,0.0,0.62,37.56,0.759,3.05,0.51,0.62,0.57,0.11,2.94,1.98,1.19,3.96,1.58,,,,,,,,,,,
489,Corentin Tolisso,FRA,MF,Ligue 1,29.0,25,21,1741,2,1,1,1,Lyon,4800000.0,0.05,2.11,0.05,2.95,67.82,0.851,8.24,1.68,0.23,1.78,3.14,1.64,0.61,1.31,0.98,1.78,,,,,,,,,,,
490,Craig Dawson,ENG,DF,Premier League,34.0,25,25,2209,1,1,0,0,Wolverhampton Wanderers,2719044.0,0.04,0.63,0.04,0.47,52.38,0.862,2.0,0.08,0.12,1.33,0.16,1.17,0.7,2.04,5.01,2.54,,,,,,,,,,,
491,Crespo,POR,MF,La Liga,27.0,14,4,509,0,0,0,0,Rayo Vallecano,,0.0,0.38,0.0,1.69,45.38,0.835,4.88,2.25,2.06,1.13,3.38,2.81,1.5,2.81,1.31,1.69,,,,,,,,,,,
492,Cristhian Mosquera,COL,DF,La Liga,19.0,35,32,2985,0,0,0,0,Valencia,160000.0,0.0,0.29,0.0,0.51,47.84,0.879,2.18,0.45,0.19,0.48,0.13,1.6,1.09,1.25,4.11,1.67,,,,,,,,,,,
493,Cristhian Stuani,URU,FW,La Liga,37.0,30,5,769,8,2,0,0,Girona,1200000.0,0.79,3.38,0.2,1.49,12.52,0.706,0.5,0.4,0.1,5.36,2.68,1.59,0.5,0.99,1.29,2.88,,,,,,,,,,,
494,Cristian,ESP,GK,La Liga,26.0,1,0,57,0,0,0,0,Valencia,1450000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
495,Cristian Cásseres Jr.,VEN,MF,Ligue 1,24.0,32,23,1946,1,3,0,0,Toulouse,450000.0,0.04,0.62,0.12,1.54,44.73,0.814,3.77,0.62,0.54,1.0,2.12,3.35,1.38,1.58,1.77,0.77,,,,,,,,,,,
496,Cristian Gamboa,CRC,DF,Bundesliga,34.0,22,12,1187,0,1,0,0,Bochum,600000.0,0.0,0.46,0.08,1.53,35.91,0.741,2.53,0.92,0.38,0.08,1.23,1.84,1.15,1.38,2.61,0.92,,,,,,,,,,,
497,Cristian Herrera,ESP,"FW,MF",La Liga,33.0,7,1,155,1,0,0,0,Las Palmas,350000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
498,Cristian Romero,ARG,DF,Premier League,26.0,33,33,2790,5,0,0,0,Tottenham Hotspur,9969830.0,0.17,0.73,0.0,1.17,83.4,0.917,5.93,1.03,0.17,1.0,0.27,2.13,1.4,1.53,3.43,2.77,,,,,,,,,,,
499,Cristian Volpato,ITA,"FW,MF",Serie A,20.0,21,4,571,1,0,0,0,Sassuolo,1300000.0,0.16,1.73,0.0,5.2,44.29,0.644,7.57,5.04,3.63,3.31,6.78,2.52,0.16,1.1,0.79,0.95,,,,,,,,,,,
500,Cristiano Biraghi,ITA,DF,Serie A,31.0,27,25,2176,2,3,0,1,Fiorentina,3150000.0,0.04,0.59,0.13,2.85,71.74,0.751,5.08,2.22,0.17,0.55,4.37,1.81,0.59,1.22,1.51,0.29,,,,,,,,,,,
501,Curtis Jones,ENG,MF,Premier League,23.0,23,14,1167,1,1,0,0,Liverpool,906348.0,0.05,1.46,0.16,2.7,60.16,0.909,5.13,2.37,1.51,3.08,5.94,2.16,0.54,1.73,0.59,0.65,,,,,,,,,,,
502,Cyle Larin,CAN,FW,La Liga,29.0,34,20,1789,3,2,0,0,Mallorca,840000.0,0.09,3.06,0.13,1.29,14.75,0.64,0.78,1.04,0.65,5.3,4.74,0.73,0.13,0.73,0.95,3.97,,,,,,,,,,,
503,Cyril Ngonge,BEL,"FW,MF",Serie A,23.0,31,18,1701,7,2,0,0,Napoli,1540000.0,0.33,2.93,0.09,4.0,24.5,0.657,2.51,3.25,1.86,3.53,7.07,0.88,0.28,0.56,0.6,1.44,,,,,,,,,,,
504,Cédric Bakambu,COD,FW,La Liga,33.0,4,2,194,0,0,0,0,Real Betis,1200000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
505,Cédric Soares,POR,DF,Premier League,32.0,3,0,62,0,0,0,0,Arsenal,4531741.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
506,César Azpilicueta,ESP,DF,La Liga,34.0,24,13,1340,0,2,0,0,Atlético Madrid,8000000.0,0.0,0.15,0.1,1.81,63.01,0.849,4.35,2.35,0.15,0.98,2.88,2.05,1.12,1.86,2.93,1.27,,,,,,,,,,,
507,César Montes,MEX,DF,La Liga,27.0,21,21,1788,0,0,0,0,Almería,1100000.0,0.1,0.71,0.0,0.86,50.54,0.77,2.81,0.48,0.1,1.43,0.19,0.9,0.62,1.0,4.9,3.38,,,,,,,,,,,
508,César Tárrega,ESP,DF,La Liga,22.0,1,0,8,0,0,0,0,Valladolid,,0.08,0.31,0.0,0.54,53.59,0.777,3.07,0.61,0.38,0.61,0.08,1.84,1.46,1.3,3.6,3.6,,,,,,,,,,,
509,Daichi Kamada,JPN,MF,Serie A,27.0,28,16,1454,2,2,0,0,Lazio,3850000.0,0.1,1.68,0.15,2.57,50.66,0.87,5.54,2.17,0.74,2.92,4.2,3.11,0.89,1.38,0.49,0.3,,,,,,,,,,,
510,Daiki Hashioka,JPN,DF,Premier League,25.0,10,6,595,0,0,0,0,Luton Town,906348.0,0.0,0.36,0.0,1.07,42.77,0.788,3.39,0.53,0.18,0.36,2.85,1.96,1.43,1.78,3.39,1.78,,,,,,,,,,,
511,Daler Kuzyaev,RUS,MF,Ligue 1,31.0,30,24,2090,2,2,0,0,Le Havre,1800000.0,0.09,0.72,0.09,3.19,45.4,0.784,5.2,1.03,0.54,2.29,4.31,1.44,0.94,0.76,0.81,1.12,,,,,,,,,,,
512,Daley Blind,NED,DF,La Liga,34.0,33,32,2882,1,2,0,0,Girona,2000000.0,0.03,0.52,0.06,1.42,77.98,0.89,6.06,1.48,0.45,0.87,0.64,1.45,0.64,1.16,3.61,1.19,,,,,,,,,,,
513,Daley Sinkgraven,NED,DF,La Liga,28.0,11,6,388,0,0,0,0,Las Palmas,1500000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
514,Damion Downs,GER,"FW,MF",Bundesliga,19.0,10,0,181,2,0,0,0,Köln,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
515,Damián Rodríguez,ESP,MF,La Liga,21.0,5,3,258,0,2,0,0,Celta Vigo,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
516,Damián Suárez,URU,DF,La Liga,36.0,16,15,1299,0,2,0,0,Botafogo (RJ),620000.0,0.0,0.39,0.17,2.16,41.01,0.67,3.66,1.39,0.78,1.05,3.21,2.33,0.67,1.05,2.16,0.72,,,,,,,,,,,
517,Dan Burn,ENG,DF,Premier League,32.0,33,32,2726,2,2,0,0,Newcastle United,3323277.0,0.12,0.9,0.06,0.96,54.42,0.809,2.81,0.52,0.12,1.68,1.1,2.03,1.1,1.88,3.91,3.36,,,,,,,,,,,
518,Dan Ndoye,SUI,"FW,MF",Serie A,23.0,31,19,1681,1,1,0,0,Bologna,1030000.0,0.05,2.09,0.05,3.16,30.73,0.775,1.82,4.6,1.77,3.91,8.78,1.61,0.48,0.91,0.64,0.37,,,,,,,,,,,
519,Dan-Axel Zagadou,FRA,DF,Bundesliga,24.0,19,16,1453,1,0,0,0,Stuttgart,2830000.0,0.06,0.65,0.0,0.59,84.92,0.868,4.49,0.12,0.18,1.12,0.18,1.3,1.18,1.48,4.85,3.72,,,,,,,,,,,
520,Dane Scarlett,ENG,FW,Premier League,20.0,4,0,22,0,0,0,0,Tottenham Hotspur,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
521,Dango Ouattara,BFA,"DF,FW",Premier League,22.0,30,12,1229,1,2,0,0,Bournemouth,2114812.0,0.07,1.92,0.14,3.09,39.99,0.664,2.54,3.36,1.65,4.66,6.59,2.95,1.58,1.44,2.47,2.4,,,,,,,,,,,
522,Dani Carvajal,ESP,DF,La Liga,32.0,27,24,2098,4,3,0,0,Real Madrid,10420000.0,0.12,0.72,0.12,1.88,58.91,0.852,3.12,1.36,0.4,2.11,6.44,2.14,0.89,1.44,2.51,1.07,,,,,,,,,,,
523,Dani Ceballos,ESP,"FW,MF",La Liga,27.0,19,5,594,0,2,0,0,Real Madrid,10420000.0,0.1,0.99,0.3,3.58,83.15,0.883,7.55,2.78,1.59,2.48,4.17,1.79,0.5,0.99,0.5,0.4,,,,,,,,,,,
524,Dani García,ESP,MF,La Liga,33.0,16,6,655,1,0,0,0,Athletic Club,2770000.0,0.12,0.73,0.0,0.49,41.82,0.845,4.65,0.24,0.24,0.86,0.49,2.08,1.1,1.1,1.22,0.73,,,,,,,,,,,
525,Dani Olmo,ESP,MF,Bundesliga,26.0,21,17,1449,4,5,0,0,RB Leipzig,9430000.0,0.25,2.89,0.3,3.99,40.32,0.778,4.24,3.79,1.74,3.94,6.58,1.54,0.65,0.55,0.75,0.6,,,,,,,,,,,
526,Dani Rodríguez,ESP,MF,La Liga,35.0,35,31,2581,2,4,0,0,Mallorca,520000.0,0.06,0.89,0.19,2.97,33.82,0.693,3.83,1.76,1.09,1.47,3.42,1.72,0.64,1.28,0.7,0.73,,,,,,,,,,,
527,Daniel Bandeira,POR,MF,Serie A,24.0,12,3,419,0,0,0,0,Verona,650000.0,0.11,0.89,0.22,2.67,49.79,0.821,5.35,1.56,1.89,0.56,1.0,1.23,1.23,1.11,1.45,1.45,,,,,,,,,,,
528,Daniel Batz,GER,GK,Bundesliga,33.0,4,4,360,0,0,0,0,Mainz 05,220000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
529,Daniel Bentley,ENG,GK,Premier League,30.0,5,3,383,0,0,0,0,Wolverhampton Wanderers,604232.0,,,,,,0.0,,,,,,,,,,,1.52,5.79,,2.5,37.1,3.45,8.18,35.9,0.55,0.57,10.2
530,Daniel Boloca,ROU,MF,Serie A,25.0,30,23,2022,1,0,0,0,Sassuolo,1110000.0,0.05,0.59,0.0,2.31,47.4,0.899,4.89,1.13,1.18,0.36,0.72,2.04,0.63,1.04,1.45,1.04,,,,,,,,,,,
531,Daniel Gore,ENG,MF,Premier League,19.0,1,0,1,0,0,0,0,Port Vale,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
532,Daniel Maldini,ITA,"FW,MF",Serie A,22.0,18,5,596,4,1,0,0,AC Monza Brianza 1912,560000.0,0.6,3.17,0.15,3.93,29.3,0.773,3.02,3.32,2.42,3.17,4.83,1.06,0.6,1.06,0.45,1.21,,,,,,,,,,,
533,Daniel Muñoz,COL,"MF,DF",Premier League,27.0,16,16,1439,0,4,0,0,Crystal Palace,2719044.0,0.0,0.53,0.2,2.74,44.63,0.767,2.34,1.4,0.87,2.54,4.8,3.54,1.6,1.87,3.07,1.67,,,,,,,,,,,
534,Daniel Parejo,ESP,MF,La Liga,35.0,32,29,2552,3,5,3,3,Villarreal,3130000.0,0.03,0.44,0.14,2.53,65.12,0.88,7.26,0.36,0.64,0.39,0.97,1.58,0.67,0.89,0.92,0.78,,,,,,,,,,,
