Player Name,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Max Aarons,Bournemouth,2114812,0,0.15,0.08,1.62,42.92,0.77,3.24,1.7,1,0.85,1.93,2.23,0.46,0.69,1.93,0.39,,,,,,,,,,,
Brenden Aaronson,Union Berlin,2760000,0.13,1.3,0.06,3.05,32.99,0.754,3.38,2.08,1.88,3.57,5.65,2.14,0.32,2.01,0.32,0.97,,,,,,,,,,,
Paxten Aaronson,Vitesse,240000,0.27,2.66,0,3.25,31.75,0.803,3.39,2.86,0.66,4.32,5.18,2.72,0.46,1.39,0.66,0.73,,,,,,,,,,,
Keyliane Abdallah,Marseille,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Yunis Abdelhamid,Reims,1200000,0.09,0.69,0.03,0.88,60.38,0.842,4.67,1.29,0.34,1.13,0.31,2.1,1.35,1.6,3.45,2.19,,,,,,,,,,,
Salis Abdul Samed,Lens,840000,0,0.26,0,1.6,49.83,0.891,4.21,0.71,0.37,0.52,1.01,1.34,0.82,0.75,1.12,0.3,,,,,,,,,,,
Laurent Abergel,Lorient,720000,0.03,0.77,0.03,2.26,58.72,0.852,6.23,1.19,1.42,0.33,1.54,2.52,1.9,0.95,1.87,0.45,,,,,,,,,,,
Matthis Abline,Nantes,540000,0.45,3.97,0,3.52,20.04,0.698,1.62,2.62,1.53,6.05,7.85,0.63,0.18,0.27,0.45,1.44,,,,,,,,,,,
Abner,Real Betis,1000000,0,0.34,0.05,1.2,52.89,0.762,2.78,1.2,0.62,1.82,4.17,1.63,0.96,1.29,3.36,0.82,,,,,,,,,,,
Zakaria Aboukhlal,Toulouse,300000,0.38,3.35,0,2.77,24.68,0.733,2.68,3.06,0.96,4.97,9.37,1.43,0.1,1.05,0.29,0.77,,,,,,,,,,,
Abdel Abqar,Alavés,,0,0.33,0,0.45,29.93,0.732,1.98,0.29,0.12,0.74,0,1.36,0.83,1.2,4.46,1.41,,,,,,,,,,,
Tammy Abraham,Roma,5770000,0.19,1.33,0,1.33,19.07,0.44,1.53,1.33,0.57,3.81,6.29,0.57,0.19,0.57,1.53,3.62,,,,,,,,,,,
Francesco Acerbi,Internazionale,2780000,0.09,0.61,0.06,0.67,63.79,0.892,3.1,0.85,0.09,0.97,0.82,0.97,1.34,0.76,3.16,2.58,,,,,,,,,,,
Joshua Acheampong,Chelsea,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Marcos Acuña,Sevilla,2900000,0.05,0.73,0.16,3.07,54.93,0.739,3.86,1.93,0.89,0.57,3.18,1.98,0.36,0.89,1.51,0.89,,,,,,,,,,,
Bénie Adama Traore,Nantes,,0,0.65,0.11,2.06,21.8,0.706,2.17,2.93,1.52,3.25,6.07,1.3,0.22,0.65,0.22,0.33,,,,,,,,,,,
Akor Adams,Montpellier,,0.33,3.23,0.04,1.7,15.44,0.643,0.7,1.61,0.58,4.55,5.13,0.5,0.21,0.33,0.46,2.19,,,,,,,,,,,
Tyler Adams,Bournemouth,3625393,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Junior Adamu,Freiburg,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Sargis Adamyan,Köln,600000,0.11,3.48,0.22,3.48,21.24,0.698,2.02,1.69,0.79,5.84,4.72,1.57,0.56,1.8,0.79,1.57,,,,,,,,,,,
Tosin Adarabioyo,Fulham,2416928,0.1,0.85,0,0.55,66.41,0.842,3.46,0.5,0.1,1.55,0.25,1.4,1.4,1,4.51,3.11,,,,,,,,,,,
Elijah Adebayo,Luton Town,755290,0.67,2.01,0,1.88,13.26,0.717,1.47,1.07,1.14,5.36,6.96,0.27,0.4,0.8,1.67,2.81,,,,,,,,,,,
Karim Adeyemi,Dortmund,5000000,0.28,2.03,0.11,2.87,27.64,0.733,2.03,4.05,1.8,5.01,7.94,1.29,0.56,0.84,0.51,0.96,,,,,,,,,,,
Simon Adingra,Brighton & Hove Albion,755290,0.24,2.39,0.1,3.2,33.75,0.764,2.22,4.58,2.02,6.33,11.1,1.68,0.61,1.31,0.87,0.4,,,,,,,,,,,
Nathaniel Adjei,Lorient,,0,0.29,0,0.8,48.44,0.864,2.46,0.72,0.29,0.72,0.29,0.94,1.3,1.09,4.63,2.17,,,,,,,,,,,
Amine Adli,Leverkusen,1140000,0.3,3.02,0.35,4.61,45.89,0.807,3.27,2.97,0.99,6.29,12.29,1.54,0.45,1.24,0.45,2.08,,,,,,,,,,,
Yacine Adli,Milan,1030000,0.05,0.42,0.1,3.82,82.47,0.864,8.06,1.94,1.31,0.52,1.62,2.2,1.31,1.26,0.99,0.94,,,,,,,,,,,
Adryelson,Lyon,,0.04,0.43,0.04,0.47,47.47,0.852,1.76,0.04,0,0.97,0.11,1.22,1.76,1.08,5.72,2.88,,,,,,,,,,,
Adson,Vasco da Gama,900000,0.1,1.4,0.1,4.69,44.8,0.813,6.19,4.79,3.29,3.39,7.98,3.59,0.7,2,0.4,0.7,,,,,,,,,,,
Michel Aebischer,Bologna,640000,0,0.74,0.04,1.71,59.25,0.911,5.08,1.01,0.58,1.09,2.44,1.28,0.47,1.01,0.93,0.5,,,,,,,,,,,
Emmanuel Agbadou,Reims,600000,0.03,1.09,0.07,1.56,64.25,0.874,6.25,1.39,0.51,1.12,0.65,2.34,1.83,1.53,3.81,1.7,,,,,,,,,,,
Julen Agirrezabala,Athletic Club,420000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Lucien Agoume,Sevilla,450000,0,0.29,0,2.35,43.09,0.847,3.81,0.73,1.03,1.03,1.17,2.79,0.88,0.88,0.88,1.32,,,,,,,,,,,
Felix Agu,Werder Bremen,600000,0,0.59,0,1.29,37.24,0.728,1.71,1.65,0.76,1.35,5,2.59,0.76,1.35,2.24,0.82,,,,,,,,,,,
Nayef Aguerd,West Ham United,3021160,0.08,0.73,0,0.61,60.01,0.812,3.25,0.42,0.11,0.99,0.11,1.18,0.73,1.6,3.71,2.56,,,,,,,,,,,
Ruben Aguilar,Lens,1500000,0.04,0.56,0.12,1.98,59.78,0.816,5.08,1.82,0.28,1.61,7.22,2.38,1.13,1.73,2.06,1.09,,,,,,,,,,,
Brandon Aguilera,Bristol Rovers,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Naouirou Ahamada,Crystal Palace,1208464,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Anel Ahmedhodžić,Sheffield United,1812696,0.07,0.67,0,0.88,34.01,0.753,1.44,0.53,0.39,1.16,0.74,2.15,1.2,1.44,4.68,1.76,,,,,,,,,,,
Joseph Aidoo,Celta Vigo,1600000,0,0.53,0,0.93,43.87,0.827,2.92,0.27,0.4,0.4,0,1.33,1.2,0.66,5.58,2.66,,,,,,,,,,,
Ola Aina,Nottingham Forest,2416928,0.05,0.61,0.05,1.99,43.34,0.749,3.68,2.81,1.43,0.72,2.04,2.5,1.02,1.02,2.61,0.82,,,,,,,,,,,
Rayan Aït-Nouri,Wolverhampton Wanderers,604232,0.08,0.94,0.04,2.47,46.23,0.848,3.76,2.47,2.43,1.88,3.72,2.63,0.59,1.18,1.37,0.86,,,,,,,,,,,
Tosin Aiyegun,Lorient,700000,0.21,1.06,0,1.17,20.51,0.772,1.59,1.7,1.28,1.7,4.99,0.64,0.21,0.43,0.85,0.64,,,,,,,,,,,
Kristoffer Ajer,Brentford,2416928,0.1,0.59,0.05,1.33,39.79,0.753,3,1.08,0.49,2.85,1.52,1.87,1.23,1.28,3.88,3.1,,,,,,,,,,,
Ludovic Ajorque,Mainz 05,2160000,0.13,1.85,0,2.45,29.96,0.706,1.45,0.26,0.13,5.82,6.02,0.2,0.2,0.4,0.73,5.03,,,,,,,,,,,
Manuel Akanji,Manchester City,10876178,0.13,0.57,0,1.8,83.97,0.936,5.39,1.67,0.08,1.05,1.35,1.56,0.73,0.92,2.37,0.89,,,,,,,,,,,
Marley Aké,Yverdon Sport,190000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Nathan Aké,Manchester City,9667714,0.07,0.84,0.07,1.9,84.86,0.926,5.31,1.23,0.21,1.55,0.91,1.13,0.56,0.7,2.53,1.9,,,,,,,,,,,
Ilias Akhomach,Villarreal,,0.15,1.6,0.15,3.34,28.6,0.78,2.42,4.06,3.39,3.92,9.68,1.94,0.82,0.53,0.73,0.24,,,,,,,,,,,
Sergio Akieme,Reims,900000,0.11,0.68,0,1.83,41.79,0.774,1.61,1.76,1.04,1.15,3.8,1.29,0.72,0.75,2.01,0.57,,,,,,,,,,,
Ebenezer Akinsanmiro,Internazionale,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Maghnes Akliouche,Monaco,120000,0.37,2.08,0.21,4.9,45.75,0.775,5.01,2.56,1.54,4.47,7.78,2.02,0.48,1.12,0.16,0.21,,,,,,,,,,,
Paul Akouokou,Lyon,750000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Jean-Daniel Akpa-Akpro,AC Monza Brianza 1912,930000,0,0.94,0.09,1.03,29.69,0.807,1.41,1.32,0.75,0.94,1.6,2.91,1.13,1.13,1.69,0.75,,,,,,,,,,,
David Akpan Ankeye,Genoa,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Kevin Akpoguma,Hoffenheim,1500000,0,0.25,0,1.34,59.47,0.861,4.43,0.75,0.59,0.42,0.67,2.84,1.42,2.01,3.26,2.01,,,,,,,,,,,
David Alaba,Real Madrid,22500000,0,1.08,0.11,1.18,68.6,0.894,3.44,0.65,0.05,1.08,1.18,0.81,0.97,0.7,2.58,0.81,,,,,,,,,,,
Luis Alberto,Lazio,7410000,0.17,2.08,0.25,5.03,67.63,0.784,8.94,3.06,0.96,2.11,4.72,1.29,0.45,1.4,0.45,0.31,,,,,,,,,,,
Raúl Albiol,Villarreal,2840000,0,0.3,0.04,0.21,57.08,0.861,2.71,0.34,0,0.63,0,1.06,0.68,1.35,4.7,2.07,,,,,,,,,,,
Thiago Alcántara,Liverpool,12084642,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Carlos Alcaraz,Juventus,,0.25,3.27,0.08,3.84,50.31,0.825,6.37,2.29,1.88,3.02,6.04,2.37,0.49,1.72,1.14,1.47,,,,,,,,,,,
Rubén Alcaraz,Cádiz,750000,0.03,1.31,0.03,2.12,45.73,0.798,4.49,0.89,0.34,0.83,1,2.8,1,1.66,1.57,1.4,,,,,,,,,,,
Omar Alderete,Getafe,1200000,0.04,0.99,0.04,1.22,41.76,0.636,3.96,1.03,0.46,1.37,0.34,1.11,0.65,1.22,4.5,2.21,,,,,,,,,,,
Iván Alejo,Cádiz,470000,0,0.74,0.1,2.02,25.49,0.515,1.62,2.71,1.38,1.13,5.36,1.97,0.34,1.08,0.93,0.84,,,,,,,,,,,
Carles Aleñá,Getafe,630000,0.08,1.37,0.08,2.89,32.41,0.763,2.05,1.07,0.61,1.83,3.5,1.9,0.3,1.37,0.99,0.91,,,,,,,,,,,
Trent Alexander-Arnold,Liverpool,10876178,0.11,1.88,0.28,5.31,88.3,0.754,8.71,1.88,1.38,1.42,4.28,1.56,1.31,1.03,1.84,0.5,,,,,,,,,,,
Aboubacar Ali,Strasbourg,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Mohamed Ali Cho,Nice,350000,0.14,1.77,0.14,2.73,27.07,0.688,2.18,5.05,1.77,3.55,7.64,1.36,0.27,1.23,0.48,0.68,,,,,,,,,,,
Yanis Ali Issoufou,Montpellier,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Faride Alidou,Köln,480000,0.29,2.4,0,2.47,21.54,0.642,2.4,3.71,1.75,3.71,6.91,0.73,0.58,1.53,1.09,1.31,,,,,,,,,,,
Nabil Alioui,Adana Demirspor,310000,0.36,2.5,0.09,3.57,31.93,0.637,3.84,1.96,1.34,2.94,6.42,0.27,0.27,0.54,0.36,0.89,,,,,,,,,,,
Alisson,Liverpool,9063481,,,,,,0,,,,,,,,,,,1.03,7.35,0,3,44.9,1.47,4.1,33.6,0.47,1.53,18.1
Tadeo Allende,Celta Vigo,1050000,0.44,3.63,0.29,3.19,27.58,0.616,2.32,2.47,1.74,3.77,6.97,2.03,0.29,1.02,0.29,2.76,,,,,,,,,,,
Jim Allevinah,Clermont Foot,130000,0.09,1.65,0.05,2.87,36.3,0.795,2.54,4.23,1.36,3.1,5.88,1.46,0.66,0.94,1.41,0.8,,,,,,,,,,,
Domingos André Ribeiro Almeida,Valencia,600000,0.16,1.13,0.08,3.3,40.33,0.762,5.47,2.66,1.45,1.61,2.82,2.33,0.72,1.29,0.4,0.4,,,,,,,,,,,
Miguel Almirón,Newcastle United,3625393,0.14,2.29,0.1,2.85,36.17,0.821,3.89,3.75,1.08,4.3,7.67,1.91,0.56,1.32,0.62,0.21,,,,,,,,,,,
Pontus Almqvist,Lecce,770000,0.09,1.75,0.04,2.76,20.39,0.738,1.36,3.11,1.62,3.46,6.01,1.84,0.61,0.92,0.44,0.61,,,,,,,,,,,
Marcos Alonso,Barcelona,6250000,0,0.72,0,1.73,73.9,0.856,4.74,2.88,0.58,1.58,7.91,1.44,1.01,0.86,2.3,1.44,,,,,,,,,,,
Adrià Altimira,Villarreal,160000,0,0.52,0,1.78,50.63,0.825,4.5,2.3,1.52,0.74,1.95,1.91,0.87,0.78,1.65,0.52,,,,,,,,,,,
Sergi Altimira,Real Betis,,0.18,1.07,0,2.32,48.21,0.904,5,1.61,1.07,0.89,1.25,2.68,1.43,2.14,1.79,0.36,,,,,,,,,,,
Edson Álvarez,West Ham United,6042321,0.06,0.63,0.06,1.26,47.33,0.86,3.53,0.79,0.98,0.72,0.98,2.93,1.51,2.17,2.8,1.17,,,,,,,,,,,
Gastón Álvarez,Getafe,650000,0.03,0.47,0,0.77,35.83,0.715,2.17,0.5,0.3,0.8,1.2,2.4,1.34,1.3,2.81,1.8,,,,,,,,,,,
Hugo Álvarez,Celta Vigo,,0.13,1.47,0.13,4.02,56.12,0.828,4.02,4.29,2.14,3.88,10.31,1.88,0.67,0.4,1.21,0.54,,,,,,,,,,,
Julián Álvarez,Manchester City,6042321,0.46,3.46,0.29,4.38,43.41,0.811,3.55,2.46,0.86,5.21,6.35,0.86,0.09,0.89,0.46,0.17,,,,,,,,,,,
Yeray Álvarez,Athletic Club,2400000,0,0.53,0,0.89,56.81,0.813,4.25,1.06,0.18,0.53,0.18,1.24,0.97,0.62,2.57,3.45,,,,,,,,,,,
Skelly Alvero,Werder Bremen,,0.33,2.3,0,2.62,44.1,0.81,5.9,0.66,0.98,1.97,3.11,2.3,0.49,1.31,0.98,2.46,,,,,,,,,,,
Papa Amadou Diallo,Metz,,0.23,1.24,0.11,2.14,26.58,0.665,3.27,2.7,1.8,2.37,6.76,1.91,1.01,1.24,1.58,3.15,,,,,,,,,,,
Selim Amallah,Valencia,460000,0,1.66,0.15,2.11,24.23,0.733,3.16,1.05,2.71,2.41,5.27,2.56,1.66,1.96,0.9,1.66,,,,,,,,,,,
Amath,Valladolid,420000,0.79,2.52,0.32,3.15,28.37,0.744,3.94,3.78,2.05,5.2,7.88,1.26,0.47,1.1,0.32,0.79,,,,,,,,,,,
Lorenzo Amatucci,Ternana,,0,0.3,0.15,3.14,44.78,0.788,3.36,0.52,0.67,0.3,0.75,3.21,1.5,1.72,1.12,0.45,,,,,,,,,,,
Jordan Amavi,Brest,1500000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Zeki Amdouni,Burnley,1812696,0.19,2.11,0.05,2.25,22.8,0.79,2.25,2.87,1.39,3.07,4.26,1.29,0.38,1.05,0.48,0.67,,,,,,,,,,,
Kelvin Amian,Nantes,900000,0,0.1,0.1,0.89,38.9,0.752,3.25,1.18,0.3,0.49,2.26,1.58,0.59,0.89,3.25,0.79,,,,,,,,,,,
Bruno Amione,Santos Laguna,120000,0.1,0.41,0,0.52,63.96,0.832,2.07,0.83,0.21,0.52,1.03,2.38,0.72,1.34,2.69,1.24,,,,,,,,,,,
Michael Amir Murillo,Marseille,1000000,0.15,0.38,0.15,1.13,53.24,0.822,3.18,0.83,1.13,1.06,3.93,1.89,0.91,0.98,2.72,1.51,,,,,,,,,,,
Nadiem Amiri,Mainz 05,2830000,0.06,2.48,0.19,5.8,58.34,0.729,5.86,1.53,1.66,1.34,1.78,1.72,0.89,1.02,1.02,0.64,,,,,,,,,,,
Kofi Amoako,Wolfsburg,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Sofyan Amrabat,Manchester United,3927509,0,0.28,0,1.76,59.32,0.87,5.36,0.63,0.42,0.28,1.06,2.54,0.71,1.9,1.55,0.49,,,,,,,,,,,
Joachim Andersen,Crystal Palace,4833857,0.05,0.54,0.08,1.28,58.89,0.786,4.1,0.74,0.36,1.18,0.26,1.41,1.08,0.9,5.36,2.39,,,,,,,,,,,
Elliot Anderson,Newcastle United,1812696,0,1.61,0.22,3.07,39.8,0.803,4.83,3.22,1.76,3.66,6.15,1.76,0.8,1.68,1.83,1.54,,,,,,,,,,,
Felipe Anderson,Lazio,2820000,0.13,1.39,0.18,2.92,43.54,0.763,4.05,3.21,1.53,3.24,7.52,2.63,1.21,1.5,0.79,0.47,,,,,,,,,,,
Benjamin André,Lille,1560000,0.1,0.79,0,1.73,68.43,0.826,7.04,0.85,0.33,1.05,1.15,3.31,1.15,1.21,2.03,2.62,,,,,,,,,,,
Komnen Andrić,Clermont Foot,300000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Robert Andrich,Leverkusen,1600000,0.15,1.19,0.12,2.23,77.02,0.901,5.04,1.08,0.27,0.81,0.5,1.42,1.04,0.96,0.81,0.96,,,,,,,,,,,
Miguel Ángel Rubio,Granada,1220000,0.07,0.52,0,0.39,46.57,0.791,1.76,0.46,0.26,1.04,0.07,1.11,1.57,1.76,4.04,3.65,,,,,,,,,,,
Angeliño,Roma,2000000,0,0.26,0.05,2.32,54.06,0.729,3.79,1.05,0.32,0.47,3.58,1.63,1.05,0.95,2.74,1,,,,,,,,,,,
Fabrizio Angileri,Getafe,600000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Jaidon Anthony,Leeds United,1521142,0.18,3.6,0,5.04,57.06,0.763,4.5,5.94,1.98,4.68,11.52,2.52,0.36,1.8,0.72,0.54,,,,,,,,,,,
Waldemar Anton,Stuttgart,2830000,0,0.79,0.09,1.18,81.2,0.883,5.2,1.27,0.45,0.91,0.39,1.18,1.27,1,4.6,2.45,,,,,,,,,,,
Michail Antonio,West Ham United,5135973,0.32,1.67,0.09,1.89,17.3,0.596,1.31,2.57,1.53,3.65,5.68,0.72,0.18,0.81,0.32,1.89,,,,,,,,,,,
Antony,Manchester United,12084642,0.05,2.64,0.05,3.72,40.12,0.788,4.42,3.56,1.78,3.51,9.65,2.53,0.92,1.89,0.65,0.22,,,,,,,,,,,
Christopher Antwi-Adjei,Bochum,300000,0.07,1.95,0.13,3.45,34.19,0.596,2.28,3.52,0.52,3.65,10.29,1.63,0.26,1.04,0.85,0.78,,,,,,,,,,,
Houssem Aouar,Roma,3590000,0.24,1.3,0,2.59,40.54,0.844,3.73,1.95,1.22,2.92,6.57,1.86,0.49,0.89,0.41,1.14,,,,,,,,,,,
Stredair Appuah,Nantes,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Mauro Arambarri,Getafe,2520000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Jon Aramburu,Real Sociedad,,0,0.7,0,0.7,54.04,0.795,4.04,1.05,0.18,0.53,4.39,3.51,1.05,1.05,3.16,1.05,,,,,,,,,,,
Asaf Arania,Darmstadt 98,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Julian Araujo,Las Palmas,520000,0.06,0.45,0,1.87,50.65,0.823,4.65,1.48,0.71,0.84,2.9,2.52,0.65,1.48,3.29,1.74,,,,,,,,,,,
Ronald Araújo,Barcelona,7000000,0.03,0.99,0.03,1.06,69.54,0.881,4.35,0.86,0.34,1.51,0.41,1.34,0.69,1.17,2.95,2.47,,,,,,,,,,,
Oliver Arblaster,Sheffield United,,0,0.1,0,2.35,43.16,0.801,4.39,1.33,1.73,0.41,0.41,2.14,1.43,1.73,0.82,0.92,,,,,,,,,,,
Cameron Archer,Sheffield United,1812696,0.2,2.08,0.05,2.43,16.87,0.799,0.76,1.67,1.52,3.44,5.62,0.91,0.05,1.11,0.51,0.3,,,,,,,,,,,
Alphonse Areola,West Ham United,7250785,,,,,,0,,,,,,,,,,,1.73,7.4,3.33,1.43,32.15,4.35,7.34,46.3,0.56,0.27,9.3
Adu Ares,Athletic Club,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Jesús Areso,Osasuna,400000,0.04,0.25,0.18,2.29,46.89,0.746,3.48,2.61,1.49,0.76,6.06,1.52,0.54,1.27,2,1.02,,,,,,,,,,,
Matias Arezo,Granada,350000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Iñigo Arguibide,Osasuna,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Yoël Armougom,Clermont Foot,230000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
José Arnaiz,Osasuna,680000,0.2,2.84,0.1,3.92,31.08,0.732,1.08,2.25,1.08,2.94,8.33,1.37,0.29,1.08,0.2,1.08,,,,,,,,,,,
Hákon Arnar Haraldsson,Lille,,0.07,0.82,0,2.37,38.88,0.817,3.41,1.85,1.11,2.6,5.86,0.89,0.15,0.52,0.37,0.07,,,,,,,,,,,
Marko Arnautović,Internazionale,3850000,0.55,2.2,0.24,2.12,27.35,0.739,2.04,1.18,0.24,4.32,9.04,0.71,0.47,0.79,0.63,0.71,,,,,,,,,,,
Maximilian Arnold,Wolfsburg,5500000,0.07,1.04,0.03,2.82,56.78,0.812,5.15,0.7,0.24,0.21,0.59,1.84,0.87,0.87,2.16,0.49,,,,,,,,,,,
Mohamed El Arouch,Lyon,150000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Sergio Arribas,Almería,,0.28,2.39,0.14,3.89,31.72,0.778,3.51,2.34,0.66,3.19,4.17,1.45,0.75,0.8,0.37,0.84,,,,,,,,,,,
Kepa Arrizabalaga,Real Madrid,9000000,,,,,,0,,,,,,,,,,,1,7.31,0,4,37.1,1.72,5.2,28,0.47,0.8,14.2
Arthur,Leverkusen,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Takuma Asano,Bochum,450000,0.3,2.93,0.08,3.01,17.69,0.667,1.44,2.5,0.68,4.45,7.59,0.81,0.17,0.81,0.64,0.76,,,,,,,,,,,
Marco Asensio,Paris Saint-Germain,14550000,0.28,2.38,0.28,3.72,49.84,0.821,5.33,2.73,1.26,2.52,7.01,0.98,0.28,0.7,0.14,0.21,,,,,,,,,,,
Kristjan Asllani,Internazionale,1030000,0.08,1.68,0.17,2.02,78.8,0.893,3.96,0.51,0.59,0.25,1.01,0.93,1.09,1.01,1.01,0.34,,,,,,,,,,,
Joel Asoro,Metz,420000,0.21,0.64,0.11,2.23,15.6,0.639,1.7,1.49,1.27,1.17,4.56,1.38,0.64,0.74,0.96,1.8,,,,,,,,,,,
Jonathan Asp Jensen,Bayern Munich,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Iago Aspas,Celta Vigo,2900000,0.21,2.5,0.31,5.9,43.49,0.733,5.48,2.71,0.94,4.47,6.69,0.35,0.31,0.73,0.31,0.28,,,,,,,,,,,
Lorenz Assignon,Burnley,550000,0.1,0.8,0.1,2.56,44.38,0.8,3.5,2.63,0.87,2.11,5.43,2.22,1.07,1.25,2.53,1,,,,,,,,,,,
Youcef Atal,Adana Demirspor,1800000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Valentin Atangana Edoa,Reims,,0,1.27,0,1.27,27.51,0.872,3.24,1.55,0.28,2.26,2.68,3.1,0.85,0.71,1.41,1.41,,,,,,,,,,,
Arthur Atta,Metz,,0.1,0.88,0.2,1.66,38.75,0.751,4.69,1.46,1.07,1.56,2.15,1.76,0.98,1.27,2.25,1.07,,,,,,,,,,,
Noah Atubolu,Freiburg,120000,,,,,,0,,,,,,,,,,,1.63,6.47,0,3.26,44.63,3.41,6.91,50.5,0.61,0.79,13.1
Pierre-Emerick Aubameyang,Marseille,7800000,0.48,3.52,0.28,2.4,22.64,0.684,2.12,2.28,0.68,5.11,7.77,0.66,0.3,1.06,0.86,0.83,,,,,,,,,,,
Emil Audero,Internazionale,1480000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Tommaso Augello,Cagliari,930000,0.04,0.39,0.04,2.18,48.99,0.693,3.47,2.36,0.64,0.36,3.72,0.97,0.57,0.75,3.33,1.18,,,,,,,,,,,
Carlos Augusto,Internazionale,2820000,0,1.15,0.11,1.68,55.23,0.816,2.87,2.56,0.54,2.56,4.78,1.61,0.61,1.03,2.6,2.37,,,,,,,,,,,
Yann Aurel Bisseck,Internazionale,1030000,0.18,1.19,0,1.73,65.54,0.925,3.83,2.56,0.46,1.83,2.28,1.19,0.37,0.82,2.65,1.64,,,,,,,,,,,
Serge Aurier,Galatasaray,3039027,0,0.62,0.18,1.51,43.89,0.771,4.71,1.16,0.62,1.24,2.84,2.13,0.89,0.98,3.82,2.75,,,,,,,,,,,
Ezequiel Ávila,Real Betis,2400000,0.21,3.03,0.21,3.38,34.39,0.625,3.38,1.59,0.62,2.96,7.79,0.34,0.41,1.17,0.96,1.17,,,,,,,,,,,
Taiwo Awoniyi,Nottingham Forest,3021160,0.6,1.81,0.23,2.41,14.97,0.683,1.13,0.9,0.68,3.69,3.84,0.75,0.15,0.68,0.83,1.88,,,,,,,,,,,
André Ayew,Le Havre,1500000,0.44,2.57,0,2.13,22.32,0.738,1.86,1.24,1.33,4.07,5.49,1.33,0.18,0.62,0.89,3.63,,,,,,,,,,,
Jordan Ayew,Crystal Palace,1510580,0.13,1.72,0.23,2.45,32.03,0.744,2.22,2.68,1.95,3.41,5.99,2.25,0.53,1.52,0.53,1.13,,,,,,,,,,,
Neil El Aynaoui,Lens,150000,0.05,1.08,0.09,1.22,36.77,0.857,3.34,1.36,0.75,1.97,2.35,2.21,1.6,1.18,1.46,0.99,,,,,,,,,,,
Sardar Azmoun,Roma,2180000,0.29,2.67,0,2.67,20.9,0.653,1.91,0.48,0.57,3.72,4.29,1.05,0.57,0.48,0.76,1.91,,,,,,,,,,,
César Azpilicueta,Atlético Madrid,8000000,0,0.15,0.1,1.81,63.01,0.849,4.35,2.35,0.15,0.98,2.88,2.05,1.12,1.86,2.93,1.27,,,,,,,,,,,
Paulo Azzi,Cagliari,930000,0,1.99,0,2.37,46.14,0.661,3.32,4.45,1.23,1.8,3.98,1.8,1.52,1.04,2.18,1.23,,,,,,,,,,,
Oussama El Azzouzi,Bologna,580000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Abdellah Baallal,Clermont Foot,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Iddrisu Baba,Almería,820000,0,0.54,0,0.97,40.34,0.836,3.67,0.05,0.86,0.22,0.38,2.75,0.65,1.24,2,1.73,,,,,,,,,,,
Srđan Babić,Spartak Moscow,300000,0,0.4,0,0.8,36.4,0.835,2.4,0.2,0.2,1.2,0.2,1,0.8,1,4.6,3.4,,,,,,,,,,,
Shavy Babicka,Toulouse,,0.48,2.39,0,2.63,25.73,0.637,2.03,4.55,1.68,3.23,11.85,1.91,0.12,0.96,0.36,0.72,,,,,,,,,,,
Aliou Badara Baldé,Nice,400000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
