Player Name,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Fran Garcia,Real Madrid,5210000,0.05,0.53,0.29,2.52,64.26,0.844,4.51,4.31,0.53,1.5,8.34,1.55,1.07,1.21,2.08,0.48,,,,,,,,,,,
Francisco Jesús Crespo García,Las Palmas,,0.36,2.87,0,3.41,41.32,0.722,3.59,3.05,2.69,2.52,11.5,2.16,0.36,0.72,0.9,0.72,,,,,,,,,,,
Gonzalo García,Real Madrid,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Jastin García,Girona,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Raúl García,Athletic Club,2080000,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Rubén García,Osasuna,1150000,0.16,1.58,0.11,3.59,43.87,0.673,3.22,0.74,0.95,2.27,6.7,1.85,0.79,1.32,1.27,1.74,,,,,,,,,,,
Santiago García,Getafe,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Ulisses Garcia,Marseille,900000,0,1.28,0,2.82,57.67,0.772,5.18,2.55,1.41,1.01,4.84,2.35,0.74,1.21,1.34,1.28,,,,,,,,,,,
Unai García,Osasuna,530000,0.16,0.33,0,0.33,32.68,0.784,1.97,0.33,0,0.99,0.16,1.81,1.15,0.99,2.96,0.66,,,,,,,,,,,
Alejandro Garnacho,Manchester United,,0.25,3.47,0.12,4.15,30.95,0.755,2.19,5.84,1.59,8.62,9.74,0.84,0.75,1,0.59,0.22,,,,,,,,,,,
James Garner,Everton,1812696,0.03,1.25,0.06,3,38.08,0.766,3.03,1.13,0.55,1.16,2.39,2.41,1.37,1.34,1.48,0.67,,,,,,,,,,,
Luca Garritano,Frosinone,670000,0,2.23,0,2.78,40.82,0.668,4.27,1.11,0,2.23,4.27,1.86,0.74,2.41,1.48,0.56,,,,,,,,,,,
