position,league,age,matches,starts,minutes,goals,annual_wage,non_penalty_goals,shots_total,assists,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play
MF,Serie A,29.0,30,29,2581,5,8970000.0,0.15,1.42,0.15,2.27,41.41,0.818,4.27,2.73,1.0,2.82,3.7,2.09,0.79,0.88,1.3,1.88,-0.1817345838594364
"MF,DF",Serie A,30.0,28,24,2075,0,1280000.0,0.0,0.4,0.08,1.5,52.01,0.858,3.68,1.09,0.57,0.85,1.98,1.5,1.9,1.01,1.13,1.25,-0.1817345838594364
MF,Ligue 1,30.0,28,13,1172,1,1080000.0,0.22,2.28,0.22,4.72,49.0,0.754,4.72,1.44,0.89,5.38,7.93,1.44,0.5,1.39,0.83,1.0,-0.1817345838594364
DF,Ligue 1,22.0,29,23,2055,1,1000000.0,0.07,0.86,0.07,1.89,56.26,0.789,4.23,2.3,0.93,1.86,7.22,1.44,0.65,1.31,1.99,0.55,-0.1817345838594364
"MF,DF",La Liga,23.0,11,10,775,0,160000.0,0.0,0.52,0.0,1.78,50.63,0.825,4.5,2.3,1.52,0.74,1.95,1.91,0.87,0.78,1.65,0.52,-0.1817345838594364
DF,La Liga,26.0,29,14,1618,1,1100000.0,0.05,0.64,0.18,2.18,45.77,0.728,3.04,1.95,0.68,1.04,5.95,2.23,0.86,1.04,2.68,0.5,-0.1817345838594364
"FW,MF",Ligue 1,23.0,8,2,238,0,900000.0,0.1,1.4,0.1,4.69,44.8,0.813,6.19,4.79,3.29,3.39,7.98,3.59,0.7,2.0,0.4,0.7,-0.1817345838594364
MF,Serie A,23.0,18,6,731,1,350000.0,0.12,1.85,0.0,2.34,36.57,0.835,3.45,1.72,1.48,1.11,2.71,1.6,0.49,0.49,0.86,0.74,-0.1817345838594364
DF,Serie A,26.0,6,3,277,0,280000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,La Liga,26.0,21,11,1127,0,860000.0,0.0,0.56,0.15,1.67,58.06,0.748,4.45,1.82,0.76,0.51,2.53,2.58,0.71,1.26,2.58,1.57,-0.1817345838594364
"MF,DF",Ligue 1,26.0,22,16,1430,1,2200000.0,0.0,1.07,0.25,2.01,49.59,0.832,4.72,1.64,1.01,2.58,5.16,2.14,1.07,1.01,1.83,1.13,0.4216341450330366
"DF,FW",La Liga,28.0,18,11,1017,2,600000.0,0.18,1.22,0.06,2.93,53.13,0.791,4.83,2.02,2.02,2.26,4.52,3.36,1.22,0.98,2.32,0.24,-0.1817345838594364
FW,Ligue 1,21.0,132,111,924,0,270000.0,0.0,0.78,0.19,2.05,20.06,0.655,1.95,1.75,1.17,3.7,5.94,0.58,0.29,0.68,0.49,0.39,-0.1817345838594364
"FW,MF",Bundesliga,31.0,27,24,1913,7,4720000.0,0.29,2.58,0.19,3.78,37.28,0.699,5.54,2.68,1.0,4.11,7.41,0.76,0.14,0.53,0.29,0.72,0.4216341450330366
"FW,MF",Serie A,26.0,33,33,2902,14,1540000.0,0.31,1.52,0.09,4.31,36.5,0.752,3.63,2.33,1.24,2.05,4.99,0.68,0.34,0.47,0.4,0.09,2.523769708431454
MF,Premier League,24.0,16,15,1213,1,3021160.0,0.07,0.59,0.22,1.93,53.12,0.877,4.82,2.08,0.82,0.82,0.89,2.15,0.74,1.71,1.04,0.96,-0.1817345838594364
FW,Serie A,28.0,11,9,516,1,1020000.0,0.17,1.74,0.0,1.4,22.15,0.512,1.4,0.52,0.17,3.14,4.01,0.52,0.52,0.52,1.22,6.8,-0.1817345838594364
DF,Serie A,25.0,34,32,2887,2,740000.0,0.06,0.75,0.09,0.81,39.56,0.8,2.68,0.25,0.16,1.06,0.06,1.71,1.31,1.56,5.3,3.43,-0.1817345838594364
MF,Serie A,29.0,26,21,1728,0,1300000.0,0.0,1.19,0.05,1.28,43.26,0.813,3.48,0.73,0.32,0.96,0.73,1.33,1.83,1.33,2.06,1.28,-0.1817345838594364
"FW,MF",La Liga,20.0,26,19,1630,3,190000.0,0.12,1.46,0.18,2.86,37.17,0.783,3.62,4.09,2.81,2.75,9.29,0.82,0.41,0.58,0.58,0.06,-0.1817345838594364
DF,La Liga,31.0,26,16,1405,2,1400000.0,0.1,1.11,0.19,2.12,46.81,0.81,3.72,1.98,0.43,1.59,5.07,1.93,1.21,0.82,1.98,0.58,-0.1817345838594364
"FW,MF",La Liga,33.0,2,0,2,0,720000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,La Liga,25.0,1,0,8,0,580000.0,0.4,1.79,0.1,2.49,31.4,0.756,4.49,1.5,0.5,3.19,6.38,2.09,0.1,1.0,0.8,1.1,-0.1817345838594364
MF,La Liga,26.0,35,34,3019,3,720000.0,0.09,1.05,0.18,3.71,81.56,0.869,8.15,1.52,0.38,0.47,1.4,1.31,1.02,1.29,1.49,0.47,-0.1817345838594364
DF,La Liga,20.0,18,15,1378,0,1670000.0,0.0,0.47,0.05,1.75,57.83,0.858,3.35,5.48,1.51,2.93,9.31,1.46,0.28,0.9,1.32,0.66,-0.1817345838594364
"MF,DF",La Liga,25.0,20,8,886,0,720000.0,0.0,0.36,0.0,2.48,51.7,0.73,3.93,1.75,0.29,1.02,4.95,1.67,0.66,1.09,2.04,0.58,-0.1817345838594364
FW,Premier League,29.0,1,0,33,0,4867655.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,La Liga,30.0,7,7,494,0,300000.0,0.0,0.18,0.0,0.36,31.15,0.93,0.91,0.0,0.0,0.36,0.18,1.09,1.82,1.46,7.83,2.37,-0.1817345838594364
DF,La Liga,32.0,11,11,946,1,730000.0,0.1,0.38,0.0,0.86,38.53,0.847,2.47,0.57,0.19,0.57,0.1,1.33,1.24,0.76,4.09,1.62,-0.1817345838594364
"FW,MF",Ligue 1,27.0,25,25,2147,6,4800000.0,0.24,1.77,0.24,4.37,50.98,0.752,7.2,2.12,0.98,1.97,6.57,1.81,0.83,1.46,0.55,0.51,-0.1817345838594364
