position,league,age,matches,starts,minutes,goals,annual_wage,non_penalty_goals,shots_total,assists,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play
MF,Bundesliga,25.0,3,0,64,0,2160000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Serie A,28.0,29,18,1557,3,3210000.0,0.12,1.21,0.2,2.21,40.56,0.742,2.41,2.57,0.76,3.66,6.99,1.25,0.48,0.92,1.61,1.69,-0.1817345838594364
DF,Premier League,21.0,28,28,2391,2,4531741.0,0.07,0.39,0.11,2.26,53.01,0.86,5.58,3.18,1.02,2.61,5.15,2.51,1.41,0.99,2.86,0.88,-0.1817345838594364
MF,La Liga,28.0,31,0,66,0,3900000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Ligue 1,27.0,9,7,550,1,450000.0,0.16,1.8,0.0,2.45,31.09,0.721,3.11,2.45,0.98,2.45,3.76,1.15,0.0,0.65,1.8,2.13,-0.1817345838594364
DF,Premier League,31.0,26,19,1726,0,6042321.0,0.0,0.47,0.0,0.42,66.07,0.882,3.02,0.21,0.1,1.15,0.05,1.41,0.68,1.15,3.86,1.1,-0.1817345838594364
DF,Serie A,20.0,22,16,1454,2,460000.0,0.12,0.67,0.0,0.43,40.18,0.775,2.26,0.06,0.0,1.04,0.0,2.08,1.28,1.47,5.25,4.64,-0.1817345838594364
MF,Serie A,32.0,2,1,73,0,3210000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Serie A,30.0,28,26,2080,1,3460000.0,0.03,0.31,0.06,0.86,66.09,0.907,3.19,0.77,0.09,0.46,0.18,1.41,1.11,1.53,3.38,2.03,-0.1817345838594364
DF,La Liga,31.0,32,28,2535,0,1200000.0,0.0,0.61,0.24,2.03,52.48,0.667,4.2,1.02,0.37,0.2,2.77,2.27,1.42,0.95,2.84,1.02,-0.1817345838594364
"FW,MF",Ligue 1,21.0,31,25,2177,3,700000.0,0.12,1.82,0.25,4.42,35.64,0.681,3.8,3.89,2.15,3.1,8.43,1.24,0.83,1.07,0.45,0.5,-0.1817345838594364
"MF,DF",La Liga,31.0,31,17,1707,0,1870000.0,0.0,0.37,0.0,1.36,51.17,0.725,3.56,2.3,1.15,0.94,3.4,1.94,0.63,0.52,2.77,0.58,-0.1817345838594364
DF,Premier League,25.0,35,34,3084,1,5135973.0,0.02,0.79,0.07,2.13,52.34,0.804,3.22,1.68,0.94,1.44,3.49,2.13,1.01,1.31,3.04,1.01,-0.1817345838594364
FW,Premier League,27.0,21,14,1145,10,8459249.0,0.9,3.19,0.18,3.44,29.42,0.736,2.47,3.92,1.15,8.26,8.98,1.75,0.42,0.66,0.24,1.39,-0.1817345838594364
DF,Bundesliga,25.0,32,31,2702,0,340000.0,0.0,0.41,0.0,0.79,52.71,0.799,3.99,0.6,0.22,0.79,0.24,1.79,1.38,1.63,5.05,2.39,-0.1817345838594364
MF,La Liga,22.0,30,23,1916,0,480000.0,0.0,1.08,0.0,2.02,41.75,0.847,4.35,1.03,1.35,0.45,0.9,2.96,0.72,1.08,0.99,1.39,-0.1817345838594364
"FW,MF",Ligue 1,22.0,18,7,628,3,270000.0,0.43,3.44,0.14,1.58,25.08,0.783,3.01,1.86,0.57,4.16,6.02,0.72,0.14,1.58,1.0,0.72,-0.1817345838594364
FW,Premier League,29.0,20,6,606,0,7250785.0,0.0,2.01,0.14,2.3,21.28,0.642,2.16,3.02,1.44,3.74,6.04,0.86,0.29,0.86,0.72,1.58,-0.1817345838594364
"MF,DF",La Liga,32.0,32,29,2414,0,2200000.0,0.0,0.24,0.0,0.82,39.81,0.766,3.59,0.58,0.68,0.44,0.75,1.23,0.96,1.16,2.36,1.4,-0.1817345838594364
MF,La Liga,27.0,24,18,1460,1,4170000.0,0.05,0.86,0.05,2.12,40.32,0.855,4.01,1.22,0.23,1.76,2.21,1.53,0.81,1.08,0.59,0.86,-0.1817345838594364
FW,La Liga,26.0,21,10,963,5,3000000.0,0.35,2.91,0.07,4.36,29.17,0.758,2.36,3.95,2.56,5.13,9.01,0.49,0.21,0.62,0.35,0.83,-0.1817345838594364
DF,Serie A,25.0,8,6,433,0,1920000.0,0.0,0.61,0.0,3.99,70.22,0.806,7.51,5.98,2.15,1.38,7.51,1.23,1.23,0.77,1.07,0.61,-0.1817345838594364
DF,Serie A,24.0,34,30,2749,0,1280000.0,0.0,0.6,0.09,1.95,50.31,0.772,2.46,1.89,0.63,0.72,3.84,0.91,1.01,0.72,2.08,0.76,-0.1817345838594364
FW,Serie A,29.0,17,17,1431,9,5560000.0,0.27,3.01,0.16,4.19,40.89,0.643,5.31,2.63,0.59,4.51,8.21,0.91,0.91,0.97,0.7,0.54,2.835109060602928
"FW,MF",La Liga,23.0,16,11,856,2,600000.0,0.16,1.13,0.08,3.3,40.33,0.762,5.47,2.66,1.45,1.61,2.82,2.33,0.72,1.29,0.4,0.4,-0.1817345838594364
DF,La Liga,29.0,15,11,907,0,1080000.0,0.0,0.1,0.0,0.39,37.27,0.772,4.6,0.68,0.1,0.59,0.0,0.68,0.78,0.68,2.84,1.47,-0.1817345838594364
MF,Serie A,24.0,2,0,13,0,380000.0,0.0,1.63,0.41,1.63,34.21,0.802,3.67,1.9,1.9,1.49,5.57,2.04,0.54,1.22,0.54,0.54,-0.1817345838594364
FW,Premier League,27.0,31,25,2097,7,6042321.0,0.21,2.94,0.08,2.19,18.37,0.565,1.3,1.51,0.55,5.34,5.09,0.59,0.17,0.59,1.56,5.89,1.0250028739255097
FW,Premier League,26.0,37,37,3293,19,3021160.0,0.44,2.8,0.08,2.1,15.19,0.741,1.63,1.5,1.09,5.75,5.03,0.62,0.23,0.65,1.22,2.59,1.317032250646508
"MF,DF",Bundesliga,30.0,31,27,2184,1,1800000.0,0.04,1.07,0.0,1.15,47.57,0.769,4.04,0.87,0.28,1.23,1.03,2.65,1.7,1.39,2.3,1.62,-0.1817345838594364
MF,Premier League,23.0,32,25,2094,3,7250785.0,0.18,2.7,0.11,4.62,66.46,0.829,6.75,3.02,0.92,3.09,6.85,1.38,0.71,1.56,0.64,0.5,-0.1817345838594364
DF,Bundesliga,30.0,12,6,568,0,1000000.0,0.0,0.14,0.0,1.98,62.26,0.814,4.25,1.42,0.42,0.28,2.26,2.12,0.57,0.99,3.54,1.98,-0.1817345838594364
"FW,MF",Bundesliga,27.0,81,40,360,0,1800000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Bundesliga,25.0,27,21,1781,13,6000000.0,0.5,3.76,0.04,3.49,28.04,0.752,3.07,3.91,1.96,5.75,8.48,0.5,0.08,0.65,0.54,0.38,-0.1817345838594364
MF,Premier League,26.0,34,34,2903,9,4531741.0,0.18,1.37,0.18,3.57,62.09,0.851,5.06,1.84,0.73,1.14,1.49,1.81,0.7,1.02,0.64,0.76,2.2317403317104554
DF,Ligue 1,27.0,23,21,1903,0,2420000.0,0.0,0.28,0.0,0.57,54.1,0.874,2.88,0.24,0.05,0.95,0.05,1.23,0.8,1.28,4.16,2.41,-0.1817345838594364
FW,Serie A,33.0,342,332,2908,121,4630000.0,0.38,3.16,0.13,2.49,24.08,0.65,1.6,2.24,1.05,6.36,7.82,0.51,0.19,0.64,0.64,3.93,-0.1817345838594364
FW,Serie A,24.0,31,26,2226,16,12960000.0,0.57,4.32,0.15,2.92,20.63,0.7,1.86,1.4,0.76,6.03,6.83,0.38,0.04,0.19,0.49,1.59,1.6090616273675071
"FW,MF",Premier League,24.0,34,32,2802,3,1510580.0,0.09,1.72,0.18,4.2,40.2,0.685,3.65,2.47,0.88,2.2,4.59,1.48,0.69,1.3,1.21,0.57,-0.1817345838594364
"MF,DF",Serie A,28.0,4,0,52,0,580000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Premier League,25.0,26,23,1968,9,6042321.0,0.34,3.52,0.17,4.86,39.64,0.765,4.27,2.97,3.06,4.65,6.45,1.42,0.46,0.92,0.25,0.54,0.4216341450330366
FW,Premier League,24.0,27,10,1082,5,6042321.0,0.43,3.14,0.14,2.14,18.9,0.789,1.5,1.85,0.64,6.78,6.78,0.86,0.29,0.78,0.36,1.71,-0.1817345838594364
DF,Bundesliga,28.0,21,13,1290,0,1980000.0,0.0,1.1,0.18,2.57,54.06,0.767,3.37,0.61,0.49,0.24,0.55,1.71,1.53,0.98,3.92,1.29,-0.1817345838594364
DF,Bundesliga,25.0,28,23,2087,0,5000000.0,0.06,0.71,0.03,1.68,82.84,0.901,6.99,2.03,0.51,1.0,0.51,1.26,0.68,1.06,2.48,1.8,-0.1817345838594364
MF,Serie A,22.0,29,16,1600,0,1850000.0,0.03,0.82,0.07,1.7,40.67,0.822,3.78,0.82,0.44,1.74,2.28,3.24,0.68,1.36,0.75,1.7,-0.1817345838594364
DF,Serie A,30.0,13,12,1011,0,1110000.0,0.13,0.31,0.0,0.81,55.56,0.845,2.88,0.94,0.06,0.69,0.5,0.94,0.88,0.69,3.69,2.0,-0.1817345838594364
FW,Ligue 1,25.0,32,24,2199,6,1200000.0,0.24,3.41,0.2,5.07,41.89,0.734,3.57,4.59,3.73,4.75,12.87,1.18,0.32,0.69,0.32,0.24,-0.1817345838594364
MF,Premier League,26.0,30,28,2357,1,6042321.0,0.06,0.63,0.06,1.26,47.33,0.86,3.53,0.79,0.98,0.72,0.98,2.93,1.51,2.17,2.8,1.17,-0.1817345838594364
DF,Ligue 1,29.0,3,0,25,0,720000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"MF,DF",La Liga,21.0,29,20,1713,0,12500000.0,0.0,0.89,0.1,2.45,63.79,0.905,5.03,2.22,1.65,1.06,1.62,3.57,1.29,1.79,1.36,0.89,-0.1817345838594364
FW,Serie A,22.0,9,3,359,2,1920000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"MF,DF",Bundesliga,19.0,6,0,34,0,1800000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Serie A,23.0,2,0,33,0,460000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Serie A,24.0,1114,42,605,20,2780000.0,0.22,2.26,0.0,2.69,54.26,0.877,3.98,3.45,2.26,3.45,6.46,1.51,0.65,1.18,0.97,0.11,-0.1817345838594364
FW,Premier League,26.0,26,15,1344,10,755290.0,0.67,2.01,0.0,1.88,13.26,0.717,1.47,1.07,1.14,5.36,6.96,0.27,0.4,0.8,1.67,2.81,-0.1817345838594364
MF,Ligue 1,22.0,6,0,102,0,120000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"FW,MF",Premier League,21.0,20,10,1004,0,1812696.0,0.0,1.61,0.22,3.07,39.8,0.803,4.83,3.22,1.76,3.66,6.15,1.76,0.8,1.68,1.83,1.54,-0.1817345838594364
MF,Bundesliga,29.0,27,24,2168,2,2800000.0,0.08,0.67,0.08,1.66,54.61,0.85,4.28,0.44,0.55,1.19,1.31,1.74,1.55,1.35,1.9,1.27,-0.1817345838594364
DF,Serie A,30.0,20,10,1084,0,3700000.0,0.05,0.11,0.0,1.66,64.71,0.845,4.6,1.98,0.16,0.53,2.67,1.98,0.91,1.28,1.93,0.86,-0.1817345838594364
MF,Bundesliga,26.0,25,24,1985,2,1380000.0,0.04,1.21,0.0,1.81,31.55,0.745,3.92,0.65,0.34,0.95,2.2,1.42,0.86,1.46,0.99,1.16,0.4216341450330366
FW,Ligue 1,21.0,261,190,1617,80,3000000.0,0.46,2.73,0.12,1.85,15.95,0.723,1.0,2.65,0.88,5.19,8.42,0.31,0.15,0.27,0.15,0.58,5.851952705065293
FW,Ligue 1,21.0,27,22,1988,8,750000.0,0.36,2.13,0.05,1.27,12.86,0.729,0.45,1.09,0.45,3.89,5.03,0.32,0.09,0.5,1.13,1.49,-0.1817345838594364
"FW,MF",Serie A,23.0,7,3,273,0,740000.0,0.0,2.16,0.0,4.31,39.88,0.775,2.52,2.69,0.9,3.05,5.93,0.72,0.18,1.26,0.9,0.0,-0.1817345838594364
DF,Serie A,25.0,14,12,998,0,370000.0,0.0,1.16,0.14,2.82,42.94,0.635,2.75,3.25,0.94,1.88,4.92,1.45,0.8,0.87,1.3,0.58,-0.1817345838594364
DF,Premier League,25.0,21,11,1146,1,2416928.0,0.07,0.55,0.0,1.58,77.5,0.887,4.19,1.65,0.62,1.03,2.82,2.82,1.51,1.58,4.12,1.58,-0.1817345838594364
DF,Premier League,29.0,35,34,3067,1,5740205.0,0.02,0.56,0.05,2.0,51.05,0.814,3.59,1.81,0.66,1.1,3.57,2.96,1.05,1.37,2.76,0.78,-0.1817345838594364
MF,Serie A,25.0,125,70,591,0,1000000.0,0.0,0.61,0.0,2.57,55.64,0.8,4.4,1.59,0.98,0.61,1.96,1.47,1.83,1.83,1.22,2.2,-0.1817345838594364
"FW,MF",Serie A,22.0,11,0,176,0,120000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Serie A,24.0,20,10,829,1,260000.0,0.08,1.98,0.08,2.06,45.71,0.675,2.45,2.69,1.74,4.11,6.8,2.53,0.63,2.53,2.14,2.37,-0.1817345838594364
DF,Premier League,29.0,16,7,823,0,3323277.0,0.0,0.44,0.0,1.75,58.61,0.841,3.06,1.09,0.33,1.09,3.28,2.3,0.98,0.87,2.19,1.42,-0.1817345838594364
MF,Premier League,23.0,12,3,331,0,2416928.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Bundesliga,26.0,27,18,1783,0,170000.0,0.0,0.64,0.0,2.34,62.2,0.789,5.9,2.82,0.96,0.74,4.31,2.29,0.69,2.07,2.23,1.12,-0.1817345838594364
DF,Ligue 1,26.0,31,28,2506,1,600000.0,0.03,1.09,0.07,1.56,64.25,0.874,6.25,1.39,0.51,1.12,0.65,2.34,1.83,1.53,3.81,1.7,-0.1817345838594364
FW,Serie A,21.0,1,0,5,0,190000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"DF,FW",Serie A,30.0,31,19,1744,1,1110000.0,0.05,0.77,0.05,1.4,27.23,0.771,2.04,0.77,0.14,1.72,3.17,1.4,0.23,1.4,1.22,0.72,-0.1817345838594364
"MF,DF",Bundesliga,30.0,25,22,1953,2,8000000.0,0.0,0.72,0.06,2.04,63.44,0.872,5.11,1.41,0.56,0.6,0.81,2.57,1.13,1.41,1.88,1.07,1.0250028739255097
"FW,MF",Premier League,27.0,153,11,400,20,860000.0,0.36,4.14,0.54,3.24,21.78,0.653,1.44,0.9,0.72,6.3,5.76,1.26,0.18,0.72,1.62,2.7,-0.1817345838594364
DF,Serie A,25.0,1,0,8,0,1030000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Premier League,23.0,28,26,2209,3,10876178.0,0.07,1.74,0.07,3.56,76.57,0.849,8.82,2.11,1.09,1.71,2.0,2.0,0.73,1.52,1.02,0.8,0.7136635217540354
MF,Ligue 1,24.0,24,18,1450,0,2000000.0,0.0,0.66,0.18,3.14,63.05,0.854,7.35,2.7,1.59,1.15,3.98,2.65,0.93,0.89,1.06,0.62,-0.1817345838594364
MF,La Liga,23.0,32,18,1692,0,300000.0,0.0,0.83,0.0,2.1,56.61,0.829,4.81,1.22,1.49,1.33,3.54,2.93,0.61,1.0,0.72,1.49,-0.1817345838594364
"FW,MF",Bundesliga,21.0,31,27,2241,5,1890000.0,0.17,1.62,0.12,3.27,57.89,0.847,5.01,1.82,1.78,2.94,6.67,1.66,0.7,0.99,0.29,0.25,0.4216341450330366
DF,Ligue 1,21.0,17,11,1125,0,120000.0,0.0,0.39,0.0,1.48,51.74,0.755,3.66,2.18,0.31,0.78,4.52,2.03,0.86,1.79,1.95,0.78,-0.1817345838594364
DF,Ligue 1,26.0,24,22,1905,2,1100000.0,0.09,0.41,0.0,0.72,47.28,0.888,2.57,0.32,0.05,0.41,0.14,1.89,1.58,1.53,3.7,0.68,-0.1817345838594364
"FW,MF",Bundesliga,22.0,33,33,2650,10,270000.0,0.28,1.54,0.17,2.86,27.88,0.614,3.0,2.86,1.26,2.55,4.93,1.08,0.42,1.36,0.73,0.42,-0.1817345838594364
"MF,DF",Bundesliga,25.0,29,24,2219,0,1200000.0,0.0,0.68,0.0,0.68,29.69,0.782,1.96,0.57,0.11,1.17,0.41,2.56,0.98,1.21,3.13,1.54,-0.1817345838594364
DF,La Liga,30.0,9,8,749,0,3130000.0,0.0,0.19,0.0,0.19,44.31,0.864,2.22,0.37,0.74,0.28,0.19,0.56,0.83,0.83,4.25,1.57,-0.1817345838594364
DF,La Liga,30.0,1,1,90,0,280000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Bundesliga,30.0,154,131,1367,0,5135973.0,0.0,0.68,0.0,0.78,83.33,0.908,3.28,0.68,0.0,0.94,0.1,0.89,0.94,1.36,3.8,2.03,-0.1817345838594364
DF,La Liga,23.0,282,280,2537,40,6000000.0,0.13,0.6,0.0,1.43,78.71,0.895,7.44,1.53,0.13,0.76,0.53,1.93,0.96,1.29,2.52,1.53,-0.1817345838594364
MF,Bundesliga,22.0,30,29,2457,1,270000.0,0.04,0.91,0.04,1.55,41.28,0.805,2.78,0.81,0.25,1.41,1.37,2.78,1.69,2.25,2.81,2.6,-0.1817345838594364
"FW,MF",Bundesliga,35.0,27,7,717,2,7000000.0,0.23,3.57,0.23,4.38,35.38,0.824,2.54,2.88,2.77,6.91,8.53,2.07,0.81,0.58,1.04,1.96,-0.1817345838594364
"FW,MF",Serie A,24.0,7,4,316,0,510000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
FW,Premier League,23.0,30,28,2462,27,22658704.0,0.61,4.14,0.18,2.04,12.8,0.75,1.02,1.2,0.49,6.44,4.62,0.28,0.05,0.38,0.56,1.51,4.333875895108872
"FW,MF",Bundesliga,26.0,33,33,2873,15,1140000.0,0.37,2.37,0.27,2.22,17.96,0.647,1.95,0.91,1.0,4.93,4.96,0.76,0.3,0.88,0.91,1.58,1.9204009795389807
DF,Premier League,30.0,28,27,2431,2,1812696.0,0.1,0.76,0.0,0.93,50.22,0.831,2.24,0.38,0.21,1.72,0.55,1.34,1.41,1.52,6.24,4.0,-0.1817345838594364
FW,Premier League,19.0,27,15,1367,6,1812696.0,0.4,2.29,0.0,1.35,18.85,0.794,0.95,0.9,0.35,3.19,4.19,0.9,0.2,0.65,0.5,0.85,-0.1817345838594364
FW,Ligue 1,22.0,33,13,1490,6,300000.0,0.24,2.72,0.0,2.78,16.85,0.742,1.93,2.23,1.39,6.04,6.83,0.97,0.66,0.66,0.42,1.45,1.0250028739255097
MF,Bundesliga,25.0,24,21,1831,4,5000000.0,0.07,1.24,0.18,2.98,95.54,0.913,7.35,1.21,0.96,1.35,2.56,3.09,1.24,1.07,1.07,0.39,1.0250028739255097
"FW,MF",La Liga,30.0,176,104,1162,11,2400000.0,0.21,3.03,0.21,3.38,34.39,0.625,3.38,1.59,0.62,2.96,7.79,0.34,0.41,1.17,0.96,1.17,-0.1817345838594364
DF,Premier League,26.0,34,34,2979,1,4531741.0,0.03,0.51,0.0,0.97,59.63,0.912,3.87,1.0,0.51,1.0,0.91,1.57,0.91,1.17,2.11,0.8,-0.1817345838594364
"MF,DF",Bundesliga,33.0,23,23,1835,0,720000.0,0.0,0.54,0.1,2.21,45.07,0.783,4.27,0.54,0.39,0.88,2.31,2.31,1.18,1.08,1.42,0.44,-0.1817345838594364
"MF,DF",Bundesliga,24.0,21,17,1513,1,500000.0,0.06,1.13,0.06,3.09,53.24,0.797,4.16,2.08,1.07,1.55,5.41,1.73,1.01,0.65,1.55,0.77,-0.1817345838594364
MF,Ligue 1,22.0,14,2,347,0,1100000.0,0.36,1.26,0.18,3.96,48.06,0.779,8.82,1.98,0.54,1.44,4.32,3.06,1.08,1.08,0.54,1.08,-0.1817345838594364
MF,Bundesliga,30.0,10,2,235,0,380000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Premier League,32.0,35,34,2965,4,2719044.0,0.12,1.07,0.02,1.36,60.99,0.829,3.79,0.83,0.31,1.19,0.69,1.22,1.07,1.38,4.1,2.05,-0.1817345838594364
DF,Serie A,23.0,21,16,1454,0,2780000.0,0.0,0.76,0.06,2.47,60.78,0.831,4.64,3.23,1.53,1.59,3.88,2.0,1.06,1.29,1.65,1.41,-0.1817345838594364
DF,Serie A,28.0,103,71,770,0,940000.0,0.0,0.21,0.1,1.88,43.43,0.682,2.2,2.41,1.26,0.84,3.66,1.99,1.15,1.67,2.2,1.05,-0.1817345838594364
MF,Bundesliga,21.0,9,1,165,0,2500000.0,0.42,1.78,0.1,3.51,40.2,0.795,4.35,1.99,0.73,3.56,5.29,1.42,0.68,1.62,0.26,0.42,-0.1817345838594364
DF,Bundesliga,18.0,7,1,152,0,280000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,La Liga,27.0,5,0,45,0,120000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Serie A,20.0,23,15,1054,1,1850000.0,0.08,1.51,0.08,4.29,37.36,0.758,3.92,1.96,1.88,2.94,4.97,1.66,0.6,0.83,0.6,0.3,-0.1817345838594364
"FW,MF",Premier League,23.0,11,2,297,1,2719044.0,,,,,,0.0,,,,,,,,,,,0.4216341450330366
MF,Ligue 1,28.0,21,14,1197,1,9090000.0,0.05,1.52,0.29,3.04,64.39,0.893,6.42,1.47,1.19,1.95,3.52,2.42,0.86,0.9,1.38,0.43,-0.1817345838594364
"MF,DF",La Liga,30.0,11,2,164,0,600000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Ligue 1,24.0,30,29,2624,1,1640000.0,0.03,0.58,0.11,1.92,66.94,0.865,6.27,1.63,0.61,0.58,0.79,1.95,0.76,1.32,1.97,1.24,-0.1817345838594364
"FW,MF",La Liga,22.0,139,121,1255,20,1200000.0,0.13,1.38,0.13,2.76,24.09,0.722,1.84,2.49,1.25,3.94,8.14,2.43,0.39,1.58,0.79,0.98,-0.1817345838594364
"MF,DF",La Liga,25.0,53,11,246,0,420000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Ligue 1,29.0,19,15,1382,0,140000.0,0.05,0.16,0.05,1.69,51.48,0.787,3.87,2.45,0.71,0.93,2.51,1.63,1.42,1.31,2.56,0.93,-0.1817345838594364
DF,La Liga,30.0,28,28,2367,0,780000.0,0.0,0.45,0.0,0.6,35.11,0.754,2.7,0.6,0.11,0.68,0.34,1.39,0.98,1.31,4.16,1.28,-0.1817345838594364
DF,Ligue 1,26.0,25,20,1849,0,180000.0,0.0,0.63,0.05,0.83,38.89,0.786,1.85,0.19,0.34,0.44,0.15,1.95,0.97,2.0,5.21,1.46,-0.1817345838594364
"FW,MF",La Liga,31.0,8,0,89,0,850000.0,0.31,1.72,0.0,1.41,19.69,0.587,0.78,0.63,0.31,2.81,3.59,0.78,0.31,0.78,0.78,4.84,-0.1817345838594364
"FW,MF",Bundesliga,22.0,26,14,1282,4,480000.0,0.29,2.4,0.0,2.47,21.54,0.642,2.4,3.71,1.75,3.71,6.91,0.73,0.58,1.53,1.09,1.31,-0.1817345838594364
MF,La Liga,27.0,4,3,152,1,720000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
DF,Serie A,27.0,36,36,3204,0,1110000.0,0.0,0.48,0.03,0.61,48.01,0.834,2.53,0.72,0.0,0.66,0.08,0.56,0.59,1.12,4.02,2.5,-0.1817345838594364
"FW,MF",Serie A,26.0,24,10,1016,3,2220000.0,0.27,2.39,0.09,2.3,27.82,0.771,2.3,1.15,0.53,3.63,6.47,0.35,0.27,0.8,0.27,0.53,-0.1817345838594364
FW,Serie A,26.0,31,23,2017,7,9260000.0,0.31,3.15,0.08,4.72,30.38,0.701,2.99,4.53,1.42,5.71,9.05,0.91,0.24,0.75,0.16,0.04,0.4216341450330366
"FW,MF",Serie A,29.0,2,0,15,1,1390000.0,0.19,1.98,0.08,2.91,31.6,0.681,4.07,3.45,0.81,3.8,8.61,1.09,0.5,0.78,1.09,0.35,-0.1817345838594364
DF,Serie A,26.0,28,27,1946,5,6480000.0,0.21,2.19,0.25,4.16,56.62,0.76,4.06,2.5,0.25,3.0,8.33,1.73,0.46,0.88,1.38,0.25,-0.1817345838594364
DF,Serie A,37.0,16,14,1284,1,4630000.0,0.07,0.56,0.0,0.63,38.76,0.758,1.82,0.14,0.14,1.19,0.07,1.12,1.19,1.47,6.45,3.08,-0.1817345838594364
DF,Serie A,25.0,31,29,2581,4,2590000.0,0.12,1.15,0.0,0.97,46.44,0.847,4.15,1.7,0.36,1.58,1.33,1.09,0.67,0.91,3.09,1.79,-0.1817345838594364
"DF,FW",La Liga,25.0,2,0,10,0,420000.0,0.0,0.65,0.0,0.33,43.28,0.917,2.12,0.0,0.0,1.31,0.0,1.8,1.31,1.47,3.27,1.14,-0.1817345838594364
MF,La Liga,25.0,35,31,2755,2,16670000.0,0.07,1.78,0.18,3.49,61.16,0.893,6.64,2.97,0.73,2.03,3.2,1.51,1.21,1.07,1.3,0.84,-0.1817345838594364
DF,Premier League,35.0,7,4,375,0,4833857.0,0.0,0.79,0.0,0.99,44.9,0.841,1.19,0.2,0.4,1.59,0.2,2.78,1.59,1.39,2.78,3.18,-0.1817345838594364
"FW,MF",Serie A,31.0,36,33,2713,5,2820000.0,0.13,1.39,0.18,2.92,43.54,0.763,4.05,3.21,1.53,3.24,7.52,2.63,1.21,1.5,0.79,0.47,-0.1817345838594364
"MF,DF",Bundesliga,24.0,24,19,1614,0,600000.0,0.0,0.59,0.0,1.29,37.24,0.728,1.71,1.65,0.76,1.35,5.0,2.59,0.76,1.35,2.24,0.82,-0.1817345838594364
MF,Bundesliga,23.0,20,10,1021,1,6000000.0,0.12,1.98,0.12,2.64,37.61,0.818,3.97,1.68,1.02,2.22,2.52,1.74,0.96,1.32,1.5,1.68,-0.1817345838594364
DF,Bundesliga,25.0,15,13,960,2,1000000.0,0.19,1.31,0.19,2.81,38.81,0.633,2.53,0.94,0.56,1.22,3.94,1.97,0.94,1.22,1.97,0.56,-0.1817345838594364
DF,La Liga,28.0,22,20,1630,0,10420000.0,0.0,0.11,0.0,1.51,60.67,0.933,3.93,0.81,0.67,0.67,4.53,0.98,0.63,0.67,1.51,0.42,-0.1817345838594364
FW,La Liga,24.0,28,12,1182,7,10000000.0,0.56,2.73,0.22,3.85,35.04,0.763,3.57,2.18,0.78,4.3,9.26,0.73,0.28,0.67,0.45,0.45,-0.1817345838594364
DF,Serie A,21.0,30,20,1664,0,230000.0,0.0,0.87,0.0,2.87,22.01,0.658,1.84,3.57,2.49,2.49,5.25,1.78,0.54,1.73,1.46,0.81,-0.1817345838594364
DF,Serie A,26.0,25,23,2034,4,4490000.0,0.12,0.66,0.03,0.69,67.54,0.907,3.44,0.78,0.06,0.69,0.12,2.15,1.22,1.58,3.11,1.25,-0.1817345838594364
MF,Serie A,26.0,2,0,33,0,1110000.0,0.15,1.17,0.15,4.52,55.58,0.766,7.73,2.48,0.44,2.48,5.69,1.75,0.0,0.73,0.88,0.73,-0.1817345838594364
DF,Serie A,31.0,29,26,1815,0,3210000.0,0.0,1.06,0.18,3.56,50.12,0.727,4.18,3.17,0.35,1.63,5.58,1.71,0.57,1.49,2.02,0.53,-0.1817345838594364
"FW,MF",Bundesliga,24.0,6,0,154,0,450000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
"MF,DF",Serie A,23.0,9,5,476,0,460000.0,0.47,2.36,0.12,3.54,46.36,0.664,6.13,2.48,1.06,2.6,3.54,1.89,0.59,0.94,1.18,1.06,-0.1817345838594364
