Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists,Penalty_made,Penalty_attempted
Samu Costa,POR,MF,La Liga,23,34,26,2303,1,1,0,0
Samuel Bamba,GER,FW,Bundesliga,20,2,0,47,0,0,0,0
Samuel Chukwueze,NGA,FW,Serie A,24,24,12,1017,1,3,0,0
Samuel Gigot,FRA,DF,Ligue 1,30,21,20,1726,3,0,0,0
Samuel Grandsir,FRA,"FW,MF",Ligue 1,27,23,4,606,1,1,0,1
Samuel Iling-Junior,ENG,"DF,FW",Serie A,20,22,2,630,1,2,0,0
Samuel Lino,BRA,"MF,DF",La Liga,24,33,24,2011,3,5,0,0
Samuel Moutoussamy,COD,MF,Ligue 1,27,26,11,1107,1,0,0,0
Samuel Omorodion,ESP,FW,La Liga,20,34,22,1984,9,1,0,0
Samuel Umtiti,FRA,DF,Ligue 1,30,6,2,185,0,0,0,0
Samuele Birindelli,ITA,DF,Serie A,24,34,21,1949,0,2,0,0
Samuele Di Benedetto,GER,MF,Bundesliga,18,1,0,7,0,0,0,0
Samuele Mulattieri,ITA,"FW,MF",Serie A,23,26,0,380,0,0,0,0
Samuele Perisan,ITA,GK,Serie A,26,1,1,90,0,0,0,0
Samuele Ricci,ITA,MF,Serie A,22,31,27,2305,1,2,0,0
Samuele Vignato,ITA,"FW,MF",Serie A,20,10,3,343,1,0,0,0
Sander Berge,NOR,MF,Premier League,26,37,34,3005,1,2,0,0
Sandi Lovrić,SVN,MF,Serie A,26,29,21,1987,1,3,0,0
Sandro Ramírez,ESP,FW,La Liga,28,26,20,1729,1,3,0,1
Sandro Tonali,ITA,MF,Premier League,24,8,5,438,1,0,0,0
Sanjin Prcić,BIH,MF,Ligue 1,30,3,1,88,0,0,0,0
Santi Comesaña,ESP,MF,La Liga,27,26,19,1563,2,0,0,0
Santiago Bueno,URU,DF,Premier League,25,12,9,822,0,0,0,0
Santiago Castro,ARG,FW,Serie A,19,6,0,90,0,0,0,0
Santiago García,,FW,La Liga,22,1,0,25,0,0,0,0
Santiago Pierotti,ARG,"FW,MF",Serie A,23,10,0,164,0,2,0,0
Sardar Azmoun,IRN,"FW,MF",Serie A,29,22,3,564,3,0,0,0
Sargis Adamyan,ARM,"FW,MF",Bundesliga,30,20,8,801,1,2,0,0
Sasa Kalajdzic,AUT,FW,Bundesliga,26,16,6,491,2,1,0,0
Saïd Benrahma,ALG,"FW,MF",Ligue 1,28,25,15,1390,3,4,0,1
Saïmon Bouabré,FRA,MF,Ligue 1,17,1,0,45,0,0,0,0
Saúl Coco,EQG,DF,La Liga,25,29,25,2205,1,0,0,0
Saúl Ñíguez,ESP,MF,La Liga,29,33,14,1354,1,4,0,0
Saša Lukić,SRB,MF,Premier League,27,24,13,1122,1,0,0,0
Scott McKenna,SCO,DF,Premier League,27,5,5,416,0,0,0,0
Scott McTominay,SCO,"FW,MF",Premier League,27,32,18,1901,7,1,0,0
Sead Kolašinac,BIH,DF,Serie A,30,30,25,2178,1,0,0,0
Sean Longstaff,ENG,MF,Premier League,26,35,30,2747,6,2,0,0
Sebastiaan Bornauw,BEL,DF,Bundesliga,25,20,16,1431,0,0,0,0
Sebastian Polter,GER,FW,Bundesliga,33,9,4,446,0,1,0,0
Sebastian Rode,GER,MF,Bundesliga,33,8,1,61,0,0,0,0
Sebastian Walukiewicz,POL,DF,Serie A,24,26,23,2010,0,0,0,0
Sebastiano Luperto,ITA,DF,Serie A,27,37,37,3316,1,1,0,0
Selim Amallah,MAR,"FW,MF",La Liga,27,20,7,604,0,1,0,0
Senne Lynen,BEL,MF,Bundesliga,25,32,20,1797,0,3,0,0
Senny Mayulu,FRA,"FW,MF",Ligue 1,18,8,3,324,0,1,0,0
Sepp van den Berg,NED,DF,Bundesliga,22,33,31,2839,3,0,0,0
Serge Aurier,CIV,"MF,DF",Premier League,31,12,10,833,0,2,0,0
Serge Gnabry,GER,"FW,MF",Bundesliga,28,10,5,432,3,1,0,0
Sergi Altimira,ESP,MF,La Liga,22,13,6,549,1,0,0,0
Sergi Canós,ESP,"FW,MF",La Liga,27,26,14,1152,1,2,0,0
Sergi Cardona,ESP,DF,La Liga,24,35,30,2814,1,2,0,0
Sergi Darder,ESP,MF,La Liga,30,35,20,2088,2,5,0,0
Sergi Guardiola,ESP,"FW,MF",La Liga,32,22,1,495,1,1,0,0
Sergi Roberto,ESP,"MF,DF",La Liga,32,14,10,860,3,2,0,0
Sergio Akieme,ESP,DF,La Liga,26,32,27,2493,4,0,0,0
Sergio Arribas,ESP,"FW,MF",La Liga,22,33,22,2002,7,4,0,0
Sergio Camello,ESP,FW,La Liga,23,31,20,1661,3,1,0,0
Sergio Gómez,ESP,"FW,MF",Premier League,23,6,0,53,0,1,0,0
Sergio Herrera,ESP,GK,La Liga,30,32,32,2869,0,0,0,0
Sergio Ramos,ESP,DF,La Liga,38,27,27,2427,3,0,0,0
Sergio Reguilón,ESP,DF,Premier League,27,25,18,1530,0,4,0,0
Sergio Rodelas,ESP,"DF,FW",La Liga,19,2,1,77,0,1,0,0
Sergio Ruiz,ESP,MF,La Liga,29,34,29,2404,0,4,0,0
Serhou Guirassy,GUI,FW,Bundesliga,28,28,25,2208,28,3,4,4
Seydou Fini,ITA,"DF,FW",Serie A,17,3,0,35,0,0,0,0
Shamar Nicholson,JAM,FW,Ligue 1,27,26,17,1484,4,3,1,2
Shandon Baptiste,GRN,MF,Premier League,26,10,2,229,1,1,0,0
Shavy Babicka,GAB,"FW,MF",Ligue 1,23,12,4,373,1,0,0,0
Sheraldo Becker,SUR,"FW,MF",La Liga,29,25,14,1335,2,3,0,0
Shiō Fukuda,JPN,"FW,MF",Bundesliga,20,5,0,36,0,0,0,0
Shon Weissman,ISR,"DF,FW",Serie A,28,15,4,501,1,0,0,0
Siebe Van Der Heyden,BEL,DF,La Liga,25,6,4,286,0,0,0,0
Silas Katompa,COD,"FW,MF",Bundesliga,25,27,8,900,5,2,0,1
Silvan Hefti,SUI,"DF,FW",Ligue 1,26,17,10,825,0,1,0,0
Silvan Widmer,SUI,DF,Bundesliga,31,20,13,1242,1,3,0,0
Silvi Clúa,ESP,MF,La Liga,19,1,0,1,0,0,0,0
Simeon Nwankwo,NGA,FW,Serie A,32,14,6,655,1,0,0,0
Simon Adingra,CIV,FW,Premier League,22,31,25,2222,6,1,0,0
Simon Ebonog,CMR,MF,Ligue 1,19,4,0,20,0,0,0,0
Simon Elisor,FRA,FW,Ligue 1,24,14,9,767,1,0,0,1
Simon Kjær,DEN,DF,Serie A,35,19,14,1168,0,1,0,0
Simon Zoller,GER,"FW,MF",Bundesliga,32,1,0,45,0,0,0,0
Simone Bastoni,ITA,"MF,DF",Serie A,27,15,8,691,1,0,0,0
Simone Pafundi,ITA,MF,Serie A,18,1,0,8,0,0,0,0
Simone Romagnoli,ITA,DF,Serie A,34,32,29,2625,1,1,0,0
Simone Scuffet,ITA,GK,Serie A,27,30,30,2700,0,0,0,0
Simone Verdi,ITA,FW,Serie A,31,1,0,4,0,0,0,0
Sinaly Diomande,CIV,DF,Ligue 1,23,10,10,889,0,0,0,0
Siriné Doucouré,MLI,FW,Ligue 1,22,11,5,423,1,3,0,0
Skelly Alvero,FRA,MF,Ligue 1,22,14,7,549,2,0,0,0
Sofiane Diop,FRA,FW,Ligue 1,23,10,6,499,0,0,0,0
Sofiane Sidi Ali,FRA,MF,Ligue 1,28,2,0,18,0,0,0,0
Sofyan Amrabat,MAR,"MF,DF",Premier League,27,21,10,938,0,0,0,0
Sokratis Papastathopoulos,GRE,DF,La Liga,35,14,11,1046,0,0,0,0
Solly March,ENG,"DF,FW",Premier League,29,7,7,554,3,1,0,0
Son Heung-min,KOR,FW,Premier League,31,35,34,2934,17,10,2,2
Sory Kaba,GUI,FW,La Liga,28,17,9,720,1,1,0,0
Souleymane Touré,FRA,DF,Ligue 1,21,24,23,2051,1,1,0,0
Soungoutou Magassa,FRA,"MF,DF",Ligue 1,20,21,15,1346,0,0,0,0
Srđan Babić,SRB,DF,La Liga,28,1,1,90,0,0,0,0
Stanislav Lobotka,SVK,MF,Serie A,29,37,37,3192,0,1,0,0
Stanley N'Soki,FRA,DF,Bundesliga,25,11,7,631,0,0,0,0
Stefan Bajcetic,ESP,MF,Premier League,19,1,0,26,0,0,0,0
Stefan Bell,GER,DF,Bundesliga,32,10,8,666,0,0,0,0
Stefan Lainer,AUT,"MF,DF",Bundesliga,31,15,8,751,0,1,0,0
Stefan Lekovic,SRB,DF,La Liga,20,1,0,29,0,0,0,0
Stefan Mitrović,SRB,DF,La Liga,33,20,12,1017,1,0,0,0
Stefan Ortega,GER,GK,Premier League,31,9,5,635,0,0,0,0
Stefan Posch,AUT,DF,Serie A,27,30,28,2319,1,2,0,0
Stefan Savić,MNE,DF,La Liga,33,23,19,1630,0,0,0,0
Stefan Schimmer,GER,"FW,MF",Bundesliga,30,16,0,153,0,1,0,0
Stefan de Vrij,NED,DF,Serie A,32,25,17,1586,1,0,0,0
Stefano Sabelli,ITA,DF,Serie A,31,31,29,2367,0,1,0,0
Stefano Sensi,ITA,MF,Serie A,28,4,0,46,0,1,0,0
Stefano Turati,ITA,GK,Serie A,22,31,31,2745,0,0,0,0
Steffen Tigges,GER,FW,Bundesliga,25,25,6,727,3,0,0,0
Stephan El Shaarawy,ITA,"DF,FW",Serie A,31,32,19,1726,3,4,0,0
Steve Mandanda,FRA,GK,Ligue 1,39,34,34,3060,0,0,0,0
Steve Mounié,BEN,FW,Ligue 1,29,32,20,1769,6,2,0,0
Steve Ngoura,FRA,"FW,MF",Ligue 1,19,12,1,223,0,1,0,0
