Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists,Penalty_made,Penalty_attempted,,,,,,,,,
Alberto Grassi,ITA,MF,Serie A,29,26,21,"1,728",0,1,0,0,,,,,,,,,
Alberto Marí,ESP,"FW,MF",La Liga,22,14,0,140,0,1,0,0,,,,,,,,,
Alberto Moleiro,ESP,"FW,MF",La Liga,20,26,19,"1,630",3,3,0,0,,,,,,,,,
Alberto Moreno,ESP,DF,La Liga,31,26,16,"1,405",2,2,0,0,,,,,,,,,
Alberto Perea,ESP,"MF,FW",La Liga,33,2,0,2,0,0,0,0,,,,,,,,,
Alberto Risco,ESP,MF,La Liga,18,3,0,67,0,0,0,0,,,,,,,,,
Alberto Soro,ESP,MF,La Liga,25,1,0,8,0,0,0,0,,,,,,,,,
Aleix García,ESP,MF,La Liga,26,35,34,"3,019",3,6,0,0,,,,,,,,,
Alejandro Balde,ESP,DF,La Liga,20,18,15,"1,378",0,1,0,0,,,,,,,,,
Alejandro Garnacho,ARG,FW,Premier League,19,35,29,"2,475",7,4,0,0,,,,,,,,,
Alejandro Jiménez,ESP,DF,Serie A,19,3,0,68,0,0,0,0,,,,,,,,,
Alejandro Pozo Pozo,ESP,"DF,MF",La Liga,25,20,8,886,0,0,0,0,,,,,,,,,
Aleksandar Mitrović,SRB,FW,Premier League,29,1,0,33,0,0,0,0,,,,,,,,,
Aleksandar Pavlovic,GER,MF,Bundesliga,20,19,14,"1,227",2,2,0,0,,,,,,,,,
Aleksandar Radovanović,SRB,DF,La Liga,30,7,7,494,0,0,0,0,,,,,,,,,
Aleksandar Sedlar,SRB,DF,La Liga,32,11,11,946,1,0,0,0,,,,,,,,,
Aleksandr Golovin,RUS,"MF,FW",Ligue 1,27,25,25,"2,147",6,6,0,0,,,,,,,,,
Aleksei Miranchuk,RUS,"MF,FW",Serie A,28,25,12,"1,124",3,5,0,0,,,,,,,,,
Alessandro Bastoni,ITA,DF,Serie A,25,27,27,"2,205",1,3,0,0,,,,,,,,,
Alessandro Buongiorno,ITA,DF,Serie A,24,28,28,"2,437",3,0,0,0,,,,,,,,,
Alessandro Deiola,ITA,MF,Serie A,28,25,17,"1,465",0,0,0,0,,,,,,,,,
Alessandro Dellavalle,ITA,DF,Serie A,20,1,0,15,0,0,0,0,,,,,,,,,
Alessandro Di Pardo,ITA,"DF,MF",Serie A,24,13,2,356,0,0,0,0,,,,,,,,,
Alessandro Florenzi,ITA,DF,Serie A,33,30,18,"1,642",1,3,0,0,,,,,,,,,
Alessandro Sorrentino,ITA,GK,Serie A,22,5,3,368,0,0,0,0,,,,,,,,,
Alessandro Vogliacco,ITA,DF,Serie A,25,18,12,999,0,1,0,0,,,,,,,,,
Alessio Cragno,ITA,GK,Serie A,29,2,2,180,0,0,0,0,,,,,,,,,
Alessio Romagnoli,ITA,DF,Serie A,29,28,25,"2,321",0,0,0,0,,,,,,,,,
Alex Baena,ESP,"MF,FW",La Liga,22,33,32,"2,517",2,13,0,1,,,,,,,,,
Alex Král,CZE,MF,Bundesliga,26,24,13,"1,370",0,0,0,0,,,,,,,,,
