position,league,age,goals,assists,annual_wage,non_penalty_goals,shots_total,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,goals_against,save_%,save%_penalty_kicks,clean_sheet_%,touches,launch_%,goal_kicks,avg_length_goal_kicks,crosses_stopped_%,def_actions_outside_pen_area,avg_distance_def_actions,penalty_play,play_time
DF,Serie A,27.0,0,1,1110000.0,0.0,0.48,0.61,48.01,0.834,2.53,0.72,0.0,0.66,0.08,0.56,0.59,1.12,4.02,2.5,,,,,,,,,,,,-0.3573753679181039,2.9758526967363896
"FW,MF",Serie A,26.0,3,1,2220000.0,0.27,2.39,2.3,27.82,0.771,2.3,1.15,0.53,3.63,6.47,0.35,0.27,0.8,0.27,0.53,,,,,,,,,,,,-0.3573753679181039,-0.5018464821810061
"FW,MF",Serie A,29.0,1,0,1390000.0,0.19,1.98,2.91,31.6,0.681,4.07,3.45,0.81,3.8,8.61,1.09,0.5,0.78,1.09,0.35,,,,,,,,,,,,-0.3573753679181039,-2.900882189489176
DF,Serie A,26.0,5,6,6480000.0,0.21,2.19,4.16,56.62,0.76,4.06,2.5,0.25,3.0,8.33,1.73,0.46,0.88,1.38,0.25,,,,,,,,,,,,-0.3573753679181039,1.3958940419785777
DF,Serie A,37.0,1,0,4630000.0,0.07,0.56,0.63,38.76,0.758,1.82,0.14,0.14,1.19,0.07,1.12,1.19,1.47,6.45,3.08,,,,,,,,,,,,-0.3573753679181039,-0.5540296979521407
DF,Serie A,25.0,4,0,2590000.0,0.12,1.15,0.97,46.44,0.847,4.15,1.7,0.36,1.58,1.33,1.09,0.67,0.91,3.09,1.79,,,,,,,,,,,,-0.3573753679181039,1.920135382487086
"DF,FW",La Liga,25.0,0,0,420000.0,0.0,0.65,0.33,43.28,0.917,2.12,0.0,0.0,1.31,0.0,1.8,1.31,1.47,3.27,1.14,,,,,,,,,,,,-0.3573753679181039,-2.904100412105518
GK,Serie A,24.0,0,0,170000.0,,,,,0.0,,,,,,,,,,,0.2,9.33,10.0,8.0,38.6,1.97,6.0,41.5,0.15,0.8,19.5,-0.3573753679181039,-2.1847511301156795
DF,Premier League,35.0,0,0,4833857.0,0.0,0.79,0.99,44.9,0.841,1.19,0.2,0.4,1.59,0.2,2.78,1.59,1.39,2.78,3.18,,,,,,,,,,,,-0.3573753679181039,-2.1768544823590426
"FW,MF",Serie A,31.0,5,6,2820000.0,0.13,1.39,2.92,43.54,0.763,4.05,3.21,1.53,3.24,7.52,2.63,1.21,1.5,0.79,0.47,,,,,,,,,,,,-0.3573753679181039,2.5647948940049448
"MF,DF",Bundesliga,24.0,0,0,600000.0,0.0,0.59,1.29,37.24,0.728,1.71,1.65,0.76,1.35,5.0,2.59,0.76,1.35,2.24,0.82,,,,,,,,,,,,-0.3573753679181039,0.37028623523224646
MF,Bundesliga,23.0,1,2,6000000.0,0.12,1.98,2.64,37.61,0.818,3.97,1.68,1.02,2.22,2.52,1.74,0.96,1.32,1.5,1.68,,,,,,,,,,,,-0.3573753679181039,-0.7192422985679192
DF,Bundesliga,25.0,2,2,1000000.0,0.19,1.31,2.81,38.81,0.633,2.53,0.94,0.56,1.22,3.94,1.97,0.94,1.22,1.97,0.56,,,,,,,,,,,,-0.3573753679181039,-0.8718610657417687
DF,Serie A,21.0,0,0,230000.0,0.0,0.87,2.87,22.01,0.658,1.84,3.57,2.49,2.49,5.25,1.78,0.54,1.73,1.46,0.81,,,,,,,,,,,,-0.3573753679181039,0.8658512649888852
DF,Serie A,26.0,4,0,4490000.0,0.12,0.66,0.69,67.54,0.907,3.44,0.78,0.06,0.69,0.12,2.15,1.22,1.58,3.11,1.25,,,,,,,,,,,,-0.3573753679181039,0.9123185747552274
MF,Serie A,26.0,0,0,1110000.0,0.15,1.17,4.52,55.58,0.766,7.73,2.48,0.44,2.48,5.69,1.75,0.0,0.73,0.88,0.73,,,,,,,,,,,,-0.3573753679181039,-2.889296588070345
GK,La Liga,22.0,0,0,600000.0,,,,,0.0,,,,,,,,,,,1.68,7.25,0.0,1.62,38.24,2.42,6.86,37.0,0.53,1.16,14.0,-0.3573753679181039,2.999023899574051
DF,Serie A,31.0,0,4,3210000.0,0.0,1.06,3.56,50.12,0.727,4.18,3.17,0.35,1.63,5.58,1.71,0.57,1.49,2.02,0.53,,,,,,,,,,,,-0.3573753679181039,1.1543855606622992
"FW,MF",Bundesliga,24.0,0,0,450000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.590801561751618
"MF,DF",Serie A,23.0,0,0,460000.0,0.47,2.36,3.54,46.36,0.664,6.13,2.48,1.06,2.6,3.54,1.89,0.59,0.94,1.18,1.06,,,,,,,,,,,,-0.3573753679181039,-1.9474023335074468
GK,Bundesliga,26.0,0,0,840000.0,,,,,0.0,,,,,,,,,,,1.76,7.07,3.0,0.91,46.18,3.11,6.09,45.1,0.65,1.55,14.5,-0.3573753679181039,2.162931152849901
MF,Bundesliga,23.0,0,0,360000.0,0.0,0.85,2.31,46.52,0.755,4.62,1.94,0.73,0.61,3.4,1.58,0.24,1.09,1.58,0.73,,,,,,,,,,,,-0.3573753679181039,-1.1467329187219804
DF,Serie A,23.0,0,0,640000.0,0.0,0.19,1.27,49.48,0.858,4.38,1.17,0.1,0.88,0.19,2.14,0.88,1.46,1.56,1.95,,,,,,,,,,,,-0.3573753679181039,-1.3367269550178658
"FW,MF",Ligue 1,32.0,4,4,1640000.0,0.16,2.71,2.99,45.78,0.78,4.31,1.11,0.57,2.54,6.07,0.82,0.66,0.86,0.74,0.33,,,,,,,,,,,,-0.3573753679181039,1.2186082278984955
MF,Bundesliga,25.0,0,0,550000.0,0.39,3.21,5.69,46.08,0.754,5.76,4.25,1.77,2.49,5.96,1.31,0.2,0.65,0.52,0.2,,,,,,,,,,,,-0.3573753679181039,-2.401726104388513
DF,Ligue 1,35.0,1,1,420000.0,0.1,0.69,0.89,49.29,0.832,1.58,0.39,0.1,1.18,0.0,1.87,0.79,2.27,3.15,2.27,,,,,,,,,,,,-0.3573753679181039,-1.1545046623875974
"FW,MF",Bundesliga,25.0,0,0,360000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.700021211456975
"MF,DF",Bundesliga,28.0,1,6,2500000.0,0.04,0.86,2.45,68.65,0.851,6.0,1.31,0.49,0.33,0.86,2.16,2.04,1.55,3.67,1.39,,,,,,,,,,,,-0.3573753679181039,1.4643514090820662
"FW,MF",Bundesliga,31.0,5,4,1400000.0,0.0,1.06,4.17,46.22,0.69,5.03,1.69,0.9,1.38,4.24,1.1,0.63,0.83,0.86,0.43,,,,,,,,,,,,8.029496523340487,1.7832829050536603
DF,La Liga,33.0,3,1,1250000.0,0.08,1.79,1.19,54.7,0.811,3.19,0.38,0.14,0.97,0.14,1.0,0.6,0.81,4.14,1.84,,,,,,,,,,,,-0.3573753679181039,2.997092966004246
MF,Bundesliga,27.0,4,2,4000000.0,0.21,2.67,3.5,44.01,0.841,5.42,2.26,0.75,2.54,3.08,1.1,0.96,0.55,0.55,0.48,,,,,,,,,,,,1.3199990103336146,-0.042129749091056
"FW,MF",Bundesliga,28.0,0,1,270000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-1.5428578707133078
"FW,MF",Ligue 1,33.0,7,6,600000.0,0.11,2.1,3.32,49.33,0.723,5.39,1.83,0.61,4.01,8.84,1.3,0.64,1.3,1.22,3.24,,,,,,,,,,,,6.352122145088769,1.986230849133462
FW,Serie A,31.0,5,3,2310000.0,0.19,2.46,3.81,29.84,0.706,3.71,3.76,2.07,4.24,5.3,0.39,0.19,0.48,0.1,0.53,,,,,,,,,,,,1.3199990103336146,0.7078436582200784
MF,Bundesliga,21.0,11,11,4500000.0,0.39,2.46,6.6,69.24,0.822,8.39,5.37,2.85,6.41,10.94,0.9,0.39,1.34,0.11,0.31,,,,,,,,,,,,1.3199990103336146,1.6783560893752214
"MF,DF",Premier League,27.0,0,0,1963754.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.6442240571828926
FW,Ligue 1,22.0,7,5,5750000.0,0.43,3.54,3.11,20.07,0.735,1.72,1.77,0.62,7.18,10.2,0.62,0.14,0.48,0.34,0.48,,,,,,,,,,,,2.0047396312755845,0.6962580568012477
DF,Ligue 1,23.0,0,0,600000.0,0.0,0.39,0.39,54.11,0.795,4.25,1.0,0.39,0.85,0.93,2.24,1.47,1.7,4.17,2.93,,,,,,,,,,,,-0.3573753679181039,-0.5158817576018908
MF,La Liga,25.0,0,0,2000000.0,0.0,0.75,1.87,49.19,0.865,4.83,1.05,0.45,0.45,1.12,2.06,0.67,1.01,1.23,0.49,,,,,,,,,,,,-0.3573753679181039,1.71060920808396
DF,La Liga,24.0,1,5,5210000.0,0.05,0.53,2.52,64.26,0.844,4.51,4.31,0.53,1.5,8.34,1.55,1.07,1.21,2.08,0.48,,,,,,,,,,,,-0.3573753679181039,0.06986439795764
DF,Serie A,36.0,3,1,2780000.0,0.09,0.61,0.67,63.79,0.892,3.1,0.85,0.09,0.97,0.82,0.97,1.34,0.76,3.16,2.58,,,,,,,,,,,,-0.3573753679181039,1.3559753231502438
FW,Serie A,36.0,3,0,1390000.0,0.2,1.69,1.76,15.28,0.757,1.28,0.47,0.34,3.58,4.46,0.14,0.14,0.27,0.34,0.88,,,,,,,,,,,,1.3199990103336146,-0.360177917130571
MF,La Liga,33.0,0,0,3740000.0,0.0,0.6,1.46,41.4,0.874,4.2,0.43,0.26,1.29,1.97,1.71,1.63,1.29,1.46,1.46,,,,,,,,,,,,-0.3573753679181039,-0.9561473699031493
"DF,FW",Bundesliga,27.0,3,9,1250000.0,0.15,1.14,5.17,45.55,0.665,3.48,3.66,0.81,2.75,9.34,0.92,0.37,0.84,1.32,0.62,,,,,,,,,,,,-0.3573753679181039,1.7692517522467017
"MF,DF",La Liga,29.0,0,1,1200000.0,0.0,1.57,3.28,43.93,0.786,3.71,2.57,0.0,2.28,5.71,4.28,1.57,2.42,0.57,0.86,,,,,,,,,,,,-0.3573753679181039,-1.4611191388721512
"FW,MF",Ligue 1,24.0,5,2,500000.0,0.34,2.41,2.02,20.76,0.676,2.02,2.13,0.84,4.21,7.86,1.63,0.28,1.12,1.07,2.13,,,,,,,,,,,,-0.3573753679181039,0.2620871853917665
MF,Premier League,26.0,1,2,2416928.0,0.07,1.61,2.45,30.16,0.759,2.59,1.4,1.12,2.1,2.87,2.73,1.82,1.33,1.26,0.7,,,,,,,,,,,,-0.3573753679181039,-0.2440739743056022
"MF,DF",Bundesliga,26.0,0,0,120000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.7513128540681784
"FW,MF",Bundesliga,24.0,0,0,460000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.440961414535034
"MF,DF",Premier League,27.0,0,0,362539.0,0.14,1.52,1.45,19.26,0.673,1.09,2.24,1.52,3.62,2.97,1.09,0.51,0.72,1.01,2.46,,,,,,,,,,,,-0.3573753679181039,-2.101104347863641
"MF,DF",Ligue 1,29.0,2,0,1280000.0,0.07,0.74,1.48,53.19,0.766,4.08,1.18,0.74,0.61,2.49,3.2,2.53,1.35,3.3,0.94,,,,,,,,,,,,-0.3573753679181039,1.916717240620478
GK,Bundesliga,31.0,0,0,1200000.0,,,,,0.0,,,,,,,,,,,1.73,6.77,3.33,2.0,41.6,3.63,6.68,46.8,0.93,1.0,12.4,-0.3573753679181039,2.497368251539561
"FW,MF",Bundesliga,26.0,2,4,560000.0,0.13,0.94,3.36,32.02,0.609,3.09,1.48,0.34,2.62,6.05,1.55,0.81,2.02,1.41,1.61,,,,,,,,,,,,-0.3573753679181039,0.028196294808686264
FW,Premier League,21.0,0,0,4833857.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.247282547190881
"DF,FW",Ligue 1,25.0,1,0,400000.0,0.07,1.05,1.64,39.6,0.79,2.62,2.75,0.65,2.62,4.45,1.57,1.05,1.05,1.9,0.72,,,,,,,,,,,,-0.3573753679181039,-0.06859006709037935
DF,Premier League,26.0,4,0,6042321.0,0.09,0.77,0.62,65.3,0.894,3.34,0.33,0.04,1.01,0.2,1.25,0.75,1.19,3.08,2.33,,,,,,,,,,,,-0.3573753679181039,2.764595508013725
DF,Premier League,25.0,2,0,604232.0,0.1,0.46,0.36,35.16,0.819,1.9,0.51,0.36,0.97,0.21,2.0,1.59,1.85,4.66,1.79,,,,,,,,,,,,-0.3573753679181039,0.46242530037779295
DF,La Liga,33.0,0,0,5330000.0,0.0,0.4,0.49,53.12,0.858,2.13,0.27,0.0,0.49,0.09,0.8,1.38,1.15,5.06,2.09,,,,,,,,,,,,-0.3573753679181039,0.5450556053788805
FW,Serie A,27.0,1,0,460000.0,0.23,2.84,5.45,43.54,0.737,6.14,3.46,1.38,2.76,6.76,1.69,0.38,1.61,0.23,0.31,,,,,,,,,,,,1.3199990103336146,-0.5534130592017219
FW,La Liga,21.0,0,0,200000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.954104765670185
DF,Serie A,24.0,1,3,560000.0,0.04,0.6,2.15,49.63,0.729,3.48,1.32,0.3,1.13,3.14,1.89,0.72,1.1,2.61,0.6,,,,,,,,,,,,-0.3573753679181039,1.9095703809331321
"FW,MF",Serie A,27.0,1,0,2590000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.5013661014040904
"FW,MF",Serie A,21.0,2,1,280000.0,0.16,1.88,3.18,19.73,0.678,2.12,2.04,2.61,2.93,6.2,1.63,0.73,0.9,0.65,1.39,,,,,,,,,,,,-0.3573753679181039,-0.33591522188271283
DF,La Liga,24.0,1,0,650000.0,0.03,0.47,0.77,35.83,0.715,2.17,0.5,0.3,0.8,1.2,2.4,1.34,1.3,2.81,1.8,,,,,,,,,,,,-0.3573753679181039,1.890057003370889
DF,Ligue 1,28.0,2,0,540000.0,0.07,0.54,0.57,45.64,0.853,3.52,0.4,0.13,1.14,0.17,1.64,0.97,1.64,4.49,2.38,,,,,,,,,,,,-0.3573753679181039,2.1552074185706807
"FW,MF",La Liga,19.0,1,1,6800000.0,0.2,0.98,2.22,50.54,0.908,3.78,2.48,1.04,1.96,3.78,2.93,0.59,1.37,1.43,0.91,,,,,,,,,,,,-0.3573753679181039,-1.2100310048660934
"FW,MF",Ligue 1,30.0,5,2,2160000.0,0.26,3.18,2.67,26.93,0.657,2.19,1.68,0.95,5.21,8.13,1.03,0.26,0.99,0.39,1.51,,,,,,,,,,,,2.107370676731511,1.2721766310343368
DF,Ligue 1,26.0,0,1,540000.0,0.0,0.23,1.4,46.95,0.833,2.96,1.25,0.31,1.48,5.68,2.18,0.39,1.4,2.65,0.78,,,,,,,,,,,,-0.3573753679181039,-0.7530846465055565
"FW,MF",Ligue 1,23.0,1,2,230000.0,0.09,1.99,2.74,42.11,0.787,4.45,1.61,1.42,3.69,5.96,1.61,0.47,0.76,0.95,0.95,,,,,,,,,,,,-0.3573753679181039,-1.1117094252838284
MF,Bundesliga,33.0,0,0,1500000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.8931584552099556
FW,Serie A,24.0,0,0,37000.0,0.49,2.85,2.06,18.04,0.542,1.21,0.61,1.09,4.43,4.19,0.49,0.06,0.67,1.46,5.1,,,,,,,,,,,,-0.3573753679181039,-2.950242898530575
MF,Ligue 1,31.0,0,0,5400000.0,0.04,0.88,1.62,56.06,0.876,4.87,0.42,0.49,0.85,1.13,2.79,2.05,1.41,1.38,0.85,,,,,,,,,,,,-0.3573753679181039,0.1668548017208976
DF,Premier League,31.0,0,1,604232.0,0.0,0.09,1.49,36.87,0.733,2.88,0.84,0.56,0.84,2.23,1.67,0.93,1.3,3.07,1.21,,,,,,,,,,,,-0.3573753679181039,-1.0846493495337073
FW,Serie A,28.0,0,0,1150000.0,0.3,3.03,1.72,17.17,0.694,0.61,1.52,0.81,4.65,5.96,0.1,0.3,0.0,0.51,2.22,,,,,,,,,,,,-0.3573753679181039,-2.4025426623891977
FW,Ligue 1,23.0,13,4,1040000.0,0.54,2.74,2.96,21.92,0.706,2.63,2.58,2.1,3.87,4.89,0.16,0.43,0.48,0.16,0.75,,,,,,,,,,,,4.674747766837051,0.2894139503235476
MF,La Liga,29.0,0,3,650000.0,0.0,1.42,3.09,52.44,0.729,4.79,0.69,0.35,0.5,1.1,1.58,0.82,0.85,1.01,0.69,,,,,,,,,,,,-0.3573753679181039,2.1416638778091954
FW,La Liga,32.0,10,6,3620000.0,0.31,2.61,4.14,41.12,0.772,6.16,1.98,1.84,5.11,8.07,1.15,0.42,0.87,0.94,1.15,,,,,,,,,,,,3.784745054983229,1.5752709447201863
DF,La Liga,32.0,1,0,2500000.0,0.03,0.66,0.51,49.29,0.859,2.0,0.18,0.13,1.04,0.05,1.16,1.01,1.06,4.55,2.5,,,,,,,,,,,,-0.3573753679181039,2.257417871065406
"FW,MF",Bundesliga,29.0,0,0,600000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.1087260612107652
DF,Ligue 1,27.0,0,0,450000.0,0.0,0.49,0.77,50.7,0.881,2.03,0.21,0.35,0.77,0.21,1.47,0.7,1.4,3.36,1.4,,,,,,,,,,,,-0.3573753679181039,-0.8972070081719716
MF,Serie A,34.0,7,3,2780000.0,0.29,2.05,3.31,45.5,0.82,5.7,2.56,1.26,2.81,4.36,1.09,0.59,0.67,0.42,0.54,,,,,,,,,,,,0.42999629847979226,1.4605604344877765
"FW,MF",Serie A,24.0,5,3,4630000.0,0.29,3.36,4.14,39.57,0.75,3.56,1.8,0.88,4.78,7.65,1.17,0.19,0.83,0.44,0.39,,,,,,,,,,,,0.42999629847979226,0.7131698504975676
DF,Serie A,32.0,1,0,1110000.0,0.04,0.6,1.44,53.02,0.835,5.84,1.24,0.12,1.08,0.32,0.88,0.92,1.08,2.8,1.64,,,,,,,,,,,,-0.3573753679181039,1.3374825454528776
DF,Serie A,28.0,0,0,1110000.0,0.0,0.38,0.7,35.74,0.786,2.86,0.52,0.24,0.45,0.38,1.19,1.54,1.71,4.37,1.64,,,,,,,,,,,,-0.3573753679181039,1.6927870806827114
"FW,MF",Serie A,30.0,0,0,1670000.0,0.0,1.39,4.56,41.04,0.821,5.35,2.97,1.39,2.58,4.96,0.59,0.59,0.2,0.0,0.0,,,,,,,,,,,,-0.3573753679181039,-2.289935999204009
"FW,MF",Serie A,24.0,5,1,190000.0,0.5,2.61,4.31,32.87,0.768,3.91,2.31,1.0,2.71,4.81,1.3,0.5,0.9,0.8,0.6,,,,,,,,,,,,1.3199990103336146,-0.7391243862439183
FW,Serie A,34.0,3,1,2040000.0,0.18,2.63,2.2,13.08,0.705,0.35,0.44,0.26,4.83,4.57,0.09,0.18,0.18,0.44,1.58,,,,,,,,,,,,1.3199990103336146,-0.3860215963794756
DF,Serie A,28.0,4,1,6480000.0,0.15,0.58,1.01,59.31,0.866,4.3,1.16,0.15,0.84,0.54,1.14,1.03,1.18,2.49,1.46,,,,,,,,,,,,-0.3573753679181039,2.4847391670969303
FW,Serie A,25.0,11,6,5930000.0,0.76,3.7,3.09,26.36,0.663,2.23,1.42,1.0,5.75,10.4,1.0,0.19,0.62,0.71,1.61,,,,,,,,,,,,-0.3573753679181039,0.20083893474917547
MF,Serie A,21.0,0,0,450000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.6922974771777546
"FW,MF",Bundesliga,21.0,0,1,2416928.0,0.0,2.54,6.68,58.36,0.847,5.88,2.23,1.75,5.72,6.36,2.86,0.64,1.43,0.95,2.23,,,,,,,,,,,,-0.3573753679181039,-1.4238856548407557
GK,La Liga,23.0,0,0,1500000.0,,,,,0.0,,,,,,,,,,,1.04,7.48,6.0,3.78,32.36,5.78,6.78,54.2,0.88,0.83,12.0,-0.3573753679181039,2.969416251503706
DF,Serie A,20.0,0,3,560000.0,0.03,0.67,1.25,56.28,0.807,4.08,1.07,0.52,1.55,0.97,2.25,1.92,1.52,2.47,2.74,,,,,,,,,,,,-0.3573753679181039,1.7849700326007287
DF,Serie A,28.0,0,3,510000.0,0.0,1.25,2.62,56.02,0.825,3.44,3.22,0.93,1.91,5.07,0.98,0.71,0.93,1.53,0.65,,,,,,,,,,,,-0.3573753679181039,0.6420190033692885
MF,Premier League,28.0,2,2,4229625.0,0.41,2.74,5.06,88.09,0.882,10.67,4.38,1.5,3.69,5.74,3.42,0.68,0.96,0.41,0.27,,,,,,,,,,,,-0.3573753679181039,-1.2652344035486802
DF,Serie A,30.0,1,6,5560000.0,0.07,1.09,3.22,75.71,0.844,7.64,2.27,0.53,3.47,6.69,1.69,0.69,1.18,1.33,0.84,,,,,,,,,,,,-0.3573753679181039,2.831805350229221
DF,La Liga,29.0,1,1,800000.0,0.04,0.52,1.6,45.58,0.749,3.13,0.97,0.52,0.86,3.53,2.72,1.08,0.89,2.31,1.3,,,,,,,,,,,,-0.3573753679181039,1.9020154375174019
FW,Serie A,28.0,1,0,3330000.0,0.32,4.51,3.54,21.24,0.722,1.29,1.07,0.75,6.33,8.58,1.5,0.21,1.07,0.86,2.47,,,,,,,,,,,,-0.3573753679181039,-0.6667882710011985
DF,Serie A,34.0,0,0,330000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.7770586349989133
MF,Serie A,26.0,3,2,1850000.0,0.16,1.11,1.69,40.75,0.772,3.44,0.37,0.37,1.53,1.22,2.48,1.22,1.22,1.96,1.16,,,,,,,,,,,,-0.3573753679181039,0.4640584163791623
"FW,MF",Serie A,25.0,0,0,200000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-1.8720209091258013
DF,Serie A,26.0,0,0,830000.0,0.0,0.35,1.94,48.26,0.737,3.79,3.79,0.79,0.7,3.35,2.11,0.09,1.5,2.73,1.23,,,,,,,,,,,,-0.3573753679181039,-0.5166544288301047
MF,La Liga,31.0,1,2,1790000.0,0.1,0.91,1.15,35.19,0.746,3.49,0.24,0.33,1.19,0.86,2.15,1.24,1.24,1.86,1.72,,,,,,,,,,,,-0.3573753679181039,0.2748850606978875
"FW,MF",La Liga,30.0,0,1,540000.0,0.0,1.07,2.74,35.28,0.827,3.81,1.98,0.46,2.44,2.74,1.45,0.38,0.91,0.91,1.3,,,,,,,,,,,,-0.3573753679181039,-0.3093528829512935
DF,Premier League,27.0,0,2,1510580.0,0.0,0.28,1.88,45.42,0.764,3.48,1.13,0.38,1.6,3.76,2.07,1.03,1.22,4.04,1.13,,,,,,,,,,,,-0.3573753679181039,-1.300039217191569
MF,La Liga,26.0,1,3,1540000.0,0.05,1.07,2.35,47.83,0.823,3.78,1.38,1.23,1.17,1.53,2.6,0.31,1.63,1.33,1.48,,,,,,,,,,,,-0.3573753679181039,1.068643176590892
"FW,MF",La Liga,27.0,3,2,5476112.0,0.26,2.33,3.11,29.54,0.772,4.84,3.54,0.69,3.8,8.46,0.43,0.17,0.78,0.17,0.17,,,,,,,,,,,,-0.3573753679181039,-1.0570705333513373
"FW,MF",Bundesliga,29.0,3,1,720000.0,0.4,4.37,3.58,24.65,0.613,2.92,1.46,1.72,5.04,6.63,1.19,0.0,0.66,1.06,2.65,,,,,,,,,,,,-0.3573753679181039,-1.2297360564507502
FW,Ligue 1,22.0,11,1,5500000.0,0.57,3.49,2.17,25.4,0.779,2.06,0.69,0.46,5.66,5.55,1.6,0.29,0.69,1.03,1.6,,,,,,,,,,,,1.3199990103336146,0.35813200444939386
FW,La Liga,27.0,14,5,2080000.0,0.53,2.55,2.44,25.55,0.69,2.4,0.83,0.79,4.58,4.43,1.39,0.64,1.43,0.94,2.7,,,,,,,,,,,,0.42999629847979226,1.7951393182680768
MF,Bundesliga,31.0,3,0,4150000.0,0.12,1.37,4.0,100.09,0.918,11.66,1.93,0.41,0.58,1.64,1.08,0.58,0.82,1.3,0.77,,,,,,,,,,,,-0.3573753679181039,2.347328185072711
GK,Bundesliga,26.0,0,0,9000000.0,,,,,0.0,,,,,,,,,,,1.15,7.79,2.86,3.42,44.93,2.2,6.61,39.2,0.24,0.55,11.7,-0.3573753679181039,1.4522200614581373
FW,Ligue 1,28.0,2,1,300000.0,0.14,2.56,1.78,24.74,0.747,2.42,1.07,1.14,5.05,7.25,0.43,0.14,0.43,0.92,2.49,,,,,,,,,,,,1.3199990103336146,-0.385103017446695
"MF,DF",Serie A,26.0,3,3,190000.0,0.23,2.0,3.71,44.0,0.733,5.02,1.88,1.03,1.94,4.57,1.77,0.51,0.91,0.4,1.43,,,,,,,,,,,,-0.3573753679181039,0.030872893833855743
MF,Bundesliga,29.0,4,5,840000.0,0.16,1.04,1.79,40.44,0.805,3.9,1.47,0.48,1.51,2.51,1.31,0.88,0.88,1.47,0.76,,,,,,,,,,,,-0.3573753679181039,1.3619099089502997
GK,Ligue 1,25.0,0,0,180000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.630609623876087
"FW,MF",Serie A,32.0,1,2,1570000.0,0.11,1.38,2.29,25.45,0.856,1.95,0.92,0.34,2.29,4.7,1.61,0.34,1.15,1.03,0.8,,,,,,,,,,,,-0.3573753679181039,-1.0515755502103579
GK,Premier League,27.0,0,0,4531741.0,,,,,0.0,,,,,,,,,,,1.6,6.9,0.0,1.54,44.29,1.63,5.34,23.8,0.61,2.08,17.1,-0.3573753679181039,3.3334609982637113
MF,La Liga,30.0,2,0,1700000.0,0.07,0.87,1.22,52.24,0.848,3.21,0.42,0.52,0.84,0.94,2.86,1.47,1.43,2.09,0.94,,,,,,,,,,,,-0.3573753679181039,0.6820228621300972
GK,Ligue 1,23.0,0,0,180000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.918704316890425
DF,Ligue 1,30.0,1,0,1800000.0,0.05,0.51,0.51,52.88,0.886,3.14,0.23,0.05,0.74,0.23,1.16,1.57,1.25,5.13,2.27,,,,,,,,,,,,-0.3573753679181039,0.5218844025412193
GK,Serie A,38.0,0,0,1480000.0,,,,,0.0,,,,,,,,,,,2.09,6.77,0.0,0.43,35.48,4.62,8.17,44.8,0.3,0.52,13.6,-0.3573753679181039,0.49074565940160114
MF,Premier League,26.0,4,6,1812696.0,0.13,1.5,3.64,34.53,0.685,4.24,1.15,0.89,1.37,2.68,1.21,0.93,1.02,1.12,0.19,,,,,,,,,,,,-0.3573753679181039,2.678347141895763
"FW,MF",Ligue 1,20.0,3,1,1280000.0,0.07,1.44,2.34,34.65,0.842,3.75,2.34,1.33,1.33,3.57,1.22,0.68,0.83,0.58,0.58,,,,,,,,,,,,1.3199990103336146,1.6883524615651533
MF,Ligue 1,22.0,1,0,320000.0,0.07,1.44,2.02,46.95,0.877,3.61,0.65,0.94,0.51,1.59,2.46,2.02,1.95,2.09,0.51,,,,,,,,,,,,-0.3573753679181039,-0.059477022832526226
"FW,MF",Ligue 1,28.0,0,0,600000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.48601653116382
DF,La Liga,32.0,0,2,2400000.0,0.0,0.78,2.24,59.97,0.802,5.34,1.8,0.75,0.84,3.45,1.68,1.15,0.9,1.96,1.37,,,,,,,,,,,,-0.3573753679181039,1.4586295009179713
MF,Serie A,24.0,0,0,1850000.0,0.0,2.21,4.25,46.28,0.809,5.78,2.38,1.7,2.72,4.59,0.85,0.68,1.53,0.17,0.68,,,,,,,,,,,,-0.3573753679181039,-1.8121930968486186
